"region","subregion","count"
"colorado","rio grande",8227
"colorado","routt",28564
"colorado","saguache",4604
"colorado","san juan",510
"colorado","san miguel",4931
"colorado","sedgwick",636
"colorado","summit",19337
"colorado","teller",14301
"colorado","washington",3714
"colorado","weld",240994
"colorado","yuma",7662
"connecticut","fairfield",36859317
"connecticut","hartford",2196830
"connecticut","litchfield",106192
"connecticut","middlesex",349775
"connecticut","new haven",877686
"connecticut","new london",354141
"connecticut","tolland",172021
"connecticut","windham",77627
"delaware","kent",301541
"delaware","new castle",18953788
"delaware","sussex",122853
"district of columbia","washington",10759507
"florida","alachua",413659
"florida","baker",20832
"florida","bay",73294
"florida","bradford",11415
"florida","brevard",827563
"florida","broward",3028072
"florida","calhoun",9579
"florida","charlotte",83378
"florida","citrus",79657
"florida","clay",1713392
"florida","collier",236405
"florida","columbia",48399
"florida","dade",2015718
"florida","de soto",12374
"florida","dixie",18538
"florida","duval",1380551
"florida","escambia",165447
"florida","flagler",109471
"florida","franklin",5481
"florida","gadsden",33509
"florida","gilchrist",14657
"florida","glades",6792
"florida","gulf",11620
"florida","hamilton",1908
"florida","hardee",13541
"florida","hendry",8426
"florida","hernando",145721
"florida","highlands",49882
"florida","hillsborough",1524995
"florida","holmes",6822
"florida","indian river",90601
"florida","jackson",37045
"florida","jefferson",5877
"florida","lafayette",2171
"florida","lake",234106
"florida","lee",501247
"florida","leon",1531593
"florida","levy",28140
"florida","liberty",2167
"florida","madison",14609
"florida","manatee",223315
"florida","marion",223809
"florida","martin",143246
"florida","nassau",41775
"florida","okaloosa",80991
"florida","okeechobee",13943
"florida","orange",1929237
"florida","osceola",265393
"florida","palm beach",1787007
"florida","pasco",298085
"florida","pinellas",1377012
"florida","polk",654518
"florida","putnam",53645
"florida","santa rosa",68308
"florida","sarasota",300520
"florida","seminole",727111
"florida","st johns",157253
"florida","st lucie",166315
"florida","sumter",46639
"florida","suwannee",28214
"florida","taylor",7855
"florida","union",7288
"florida","volusia",523215
"florida","wakulla",14644
"florida","walton",44380
"florida","washington",13699
"georgia","appling",12301
"georgia","atkinson",2293
"georgia","bacon",9161
"georgia","baker",127
"georgia","baldwin",48480
"georgia","banks",9305
"georgia","barrow",52074
"georgia","bartow",56000
"georgia","ben hill",18131
"georgia","berrien",11225
"georgia","bibb",189696
"georgia","bleckley",7570
"georgia","brantley",6384
"georgia","brooks",8171
"georgia","bryan",22500
"georgia","bulloch",116314
"georgia","burke",7583
"georgia","butts",24273
"georgia","calhoun",2170
"georgia","camden",104390
"georgia","candler",10860
"georgia","carroll",155120
"georgia","catoosa",38126
"georgia","charlton",763
"georgia","chatham",404847
"georgia","chattahoochee",31015
"georgia","chattooga",10871
"georgia","cherokee",142182
"georgia","clarke",1603050
"georgia","clay",1278
"georgia","clayton",148413
"georgia","clinch",1146
"georgia","cobb",998336
"georgia","coffee",15672
"georgia","colquitt",33058
"georgia","columbia",120479
"georgia","cook",6634
"georgia","coweta",100924
"georgia","crawford",4085
"georgia","crisp",6635
"georgia","dade",9362
"georgia","dawson",16242
"georgia","de kalb",979623
"georgia","decatur",19182
"georgia","dodge",7283
"georgia","dooly",5875
"georgia","dougherty",80560
"georgia","douglas",94024
"georgia","early",2421
"georgia","echols",4850
"georgia","effingham",20586
"georgia","elbert",16698
"georgia","emanuel",9939
"georgia","evans",5256
"georgia","fannin",15023
"georgia","fayette",82864
"georgia","floyd",55793
"georgia","forsyth",101926
"georgia","franklin",8306
"georgia","fulton",7597379
"georgia","gilmer",20667
"georgia","glascock",3836
"georgia","glynn",30945
"georgia","gordon",26711
"georgia","grady",7318
"georgia","greene",9938
"georgia","gwinnett",4553101
"georgia","habersham",14204
"georgia","hall",147269
"georgia","hancock",14841
