"subregion","region","pop","high","college","income","poppermile","establishments","employees","ipaddr"
"de baca","new mexico",1927,77.1,20,33714,0.9,52,265,1533
"de kalb","alabama",71080,70.3,10.7,36853,91.5,1095,16549,22958
"de kalb","georgia",707089,88.3,39.3,51712,2585.7,16003,252081,979623
"de kalb","illinois",104704,91.2,28.2,54436,166.6,1952,25295,130690
"de kalb","indiana",42321,88,15.4,47099,116.4,978,17014,44821
"de kalb","missouri",12940,83.6,11.3,45252,30.6,224,1926,637
"de kalb","tennessee",18901,72.6,13.1,36870,61.5,300,5621,7018
"de soto","florida",34712,68.9,11.4,36407,54.7,409,4614,12374
"de soto","louisiana",26963,78.8,13.3,39213,30.4,401,5193,6259
"de soto","mississippi",166234,88.1,21.3,59734,338.7,2543,42540,89889
"de witt","illinois",16434,89.8,17,48750,41.7,381,4631,9948
"de witt","texas",20465,75.4,12.3,43380,22.1,437,4622,14693
"deaf smith","texas",19360,68.6,13.9,41134,12.9,424,5470,6009
"dearborn","indiana",49831,88.7,17.7,57146,164.1,956,13719,25900
"decatur","georgia",27509,77.2,12.2,31391,46.6,583,6394,19182
"decatur","indiana",26042,84.8,13.8,47810,69.1,622,9794,25361
"decatur","iowa",8253,84.2,16.8,34185,15.9,138,1823,10708
"decatur","kansas",2871,91.6,17.7,35887,3.3,103,666,286
"decatur","tennessee",11673,73.9,12.8,30311,35.2,243,3059,8689
"deer lodge","montana",9227,85.8,18.5,34095,12.6,257,2811,4794
"defiance","ohio",38677,87.9,16.5,46864,94.9,814,12847,25148
"del norte","california",28290,78.2,14.3,37588,28.4,449,4059,8652
"delaware","indiana",117364,85.1,22.2,38730,300.1,2396,36601,123005
"delaware","iowa",17574,90.1,14.2,49375,30.7,497,5203,9568
"delaware","new york",47276,86.8,18.8,43554,33.3,1021,10937,105866
"delaware","ohio",181061,95.9,50,90022,393.2,3890,69069,133619
"delaware","oklahoma",41441,82.8,14.9,35552,56.2,685,6592,15774
"delaware","pennsylvania",561098,91,34.5,63677,3040.5,12629,204707,886396
"delta","colorado",30432,87,17.7,41856,27.1,853,6288,28723
"delta","michigan",36884,91.3,18.3,42932,31.7,1100,11593,22396
"delta","texas",5329,84.1,12.1,34710,20.4,55,616,636
"dent","missouri",15647,76.5,11.8,36715,20.8,337,3545,3069
"denton","texas",707304,91.4,40,72305,754.3,11449,166739,711868
"denver","colorado",634265,84.7,41.3,47499,3922.6,21961,373970,3369302
"des moines","iowa",40340,90.4,18.3,43111,96.9,1123,19516,32151
"deschutes","oregon",162277,93.3,29.8,52962,52.3,5695,51078,132192
"desha","arkansas",12545,75.5,13.4,30786,16.9,323,3531,3237
"deuel","nebraska",1972,90.4,18.1,37500,4.4,60,351,127
"deuel","south dakota",4380,84.5,17.5,46186,7,132,1494,4208
"dewey","oklahoma",4783,85.9,20.1,41500,4.8,142,893,2180
"dewey","south dakota",5538,77.4,14.2,30645,2.3,105,789,7799
"dickens","texas",2323,74,14.6,35333,2.7,41,217,766
"dickenson","virginia",15690,66.6,8.9,30556,48.1,223,2781,6369
"dickey","north dakota",5268,87.1,21,41776,4.7,222,1703,11246
"dickinson","iowa",16972,93.2,27,52704,43.8,762,7003,20892
"dickinson","kansas",19762,90.9,19.5,49003,23.3,468,4924,6261
"dickinson","michigan",26220,93.3,19.3,43651,34.4,893,12405,25115
"dickson","tennessee",50381,81.6,15.5,44201,101.4,897,12072,16343
"dillon","south carolina",31446,67.5,7.8,26067,79.2,490,8512,8304
"dimmit","texas",10461,57.9,11.2,26730,7.5,187,3229,7199
"dinwiddie","virginia",27994,77.7,13,50583,55.6,364,4213,19729
"divide","north dakota",2228,90.5,17.8,47545,1.6,98,604,255
"dixie","florida",16126,75.8,8.9,34243,23.3,173,1282,18538
"dixon","nebraska",5918,85.7,15.1,44840,12.6,112,1007,2296
"doddridge","west virginia",8178,78.3,10,32063,25.7,74,534,1016
"dodge","georgia",21329,77.8,13.6,33829,44,336,3662,7283
"dodge","minnesota",20231,90.9,22.1,66216,45.7,418,3997,13327
"dodge","nebraska",36427,85.2,17.3,44744,69.4,1008,14387,22678
"dodge","wisconsin",88415,86.9,15.2,53589,101.4,1781,27750,49610
"dolores","colorado",1994,88.1,15.5,44077,1.9,45,191,1028
"dona ana","new mexico",214445,76.1,25.5,37223,55,3630,49011,186864
"doniphan","kansas",7864,88,18.3,45000,20.2,153,1298,9355
"donley","texas",3598,83.7,18.5,44300,4,78,471,2168
"dooly","georgia",14318,71.4,10.2,30830,38.1,162,1891,5875
"door","wisconsin",27817,93.5,27.9,48680,57.6,1266,9829,35380
"dorchester","maryland",32551,82.2,18,46683,60.3,736,9185,38795
"dorchester","south carolina",142496,88.9,24.6,54875,238.2,2112,23563,71284
"dougherty","georgia",94501,80,18.6,32364,287.7,2387,37548,80560
"douglas","colorado",298215,97.5,54.6,101193,339.7,7414,78310,191697
"douglas","georgia",133971,86.3,24.2,54763,661.8,2416,32296,94024
"douglas","illinois",19853,81.8,14.7,47921,48,595,6037,18547
"douglas","kansas",112864,95.3,48.8,47063,243.1,2601,37058,283027
"douglas","minnesota",36415,91.3,22.5,48436,56.5,1326,16040,31298
"douglas","missouri",13585,80,9.7,32300,16.8,204,2222,4803
"douglas","nebraska",531265,89.9,35.7,52929,1574.4,14761,302633,1650238
"douglas","nevada",46996,92,25.3,60383,66.2,1540,15740,56641
"douglas","oregon",107164,86.8,15.7,40501,21.4,2503,27337,82143
"douglas","south dakota",2970,76.6,13.7,45957,7,104,869,1027
"douglas","washington",39350,80.1,17.6,49707,21.1,672,6196,43160
"douglas","wisconsin",43785,91.2,21.8,44140,33.9,1044,13713,85696
"drew","arkansas",18743,81.9,19.8,32038,22.3,413,4842,13800
"du page","illinois",927987,91.9,45.6,77598,2799.8,32918,567052,7360588
"dubois","indiana",42071,85.6,19.7,53997,98,1285,24980,95245
"dubuque","iowa",95097,90.5,25.5,49663,154,2708,51097,64584
"duchesne","utah",19244,84.5,16.8,55790,5.7,651,6183,19698
"dukes","massachusetts",17041,92.7,42.5,69760,160.2,1019,4935,16546
"dundy","nebraska",2021,93.3,21.7,40278,2.2,65,352,3193
"dunklin","missouri",31826,69,11.3,30806,59.1,764,8412,10873
"dunn","north dakota",3967,87.3,16.6,52861,1.8,132,1268,1162
"dunn","wisconsin",44072,91.2,24.9,48342,51.6,878,12389,84654
"duplin","north carolina",60033,71,10.7,34264,71.7,848,12873,85829
"durham","north carolina",279641,86.9,44.3,50078,935.7,6637,159417,20189619
"dutchess","new york",297322,89.2,32,71125,373.9,7423,92645,493706
"duval","florida",879602,87.5,25.2,49964,1133.9,23144,382633,1380551
"duval","texas",11717,66.3,8.2,35144,6.6,154,2109,637
"dyer","tennessee",38255,80.6,15.8,38909,74.8,781,12837,27653
"eagle","colorado",51874,87.8,46.9,70914,31,3126,29625,56624
"early","georgia",10594,76.2,13.5,27645,21.5,215,2639,2421
"east baton rouge","louisiana",444526,87.4,33.4,46838,966.6,12173,226445,952740
"east carroll","louisiana",7526,67.5,9.7,25267,18.4,130,1249,2821
"east feliciana","louisiana",20008,78.8,11.7,37403,44.7,253,3818,7239
"eastland","texas",18421,79.8,15.4,34531,20.1,461,5270,12146
"eaton","michigan",108008,93,24.6,54170,187.3,2034,38204,252872
"eau claire","wisconsin",100677,92.5,31,46826,154.8,2679,49287,296571
"echols","georgia",3988,62.7,6.9,29476,9.7,20,74,4850
"ector","texas",144325,73.1,13.3,50056,152.8,3313,53018,85215
"eddy","new mexico",54419,80.6,15.7,47725,12.9,1262,20150,21487
"eddy","north dakota",2368,84,18.6,40096,3.8,75,444,4217
"edgar","illinois",18191,88.6,17.2,42947,29.8,370,5285,15332
"edgecombe","north carolina",55954,77.9,10.6,34198,111.9,791,13873,18921
"edgefield","south carolina",26347,80.8,17.9,44090,53.9,328,4293,8093
"edmonson","kentucky",12071,77.8,9.6,35217,40.2,137,800,3564
"edmunds","south dakota",4026,85.3,23.5,48039,3.6,124,857,7
"edwards","illinois",6684,88.2,12.5,39071,30.2,154,NA,4205
"edwards","kansas",2979,82.6,21.6,41406,4.9,102,647,765
"edwards","texas",1968,73,23.3,43095,0.9,35,201,2042
"effingham","georgia",53293,85.3,15.8,58935,109.4,680,7083,20586
"effingham","illinois",34353,90.1,19.3,50938,71.5,1172,17716,19812
"el dorado","california",180561,93,30.8,68815,106,4182,39870,290594
"el paso","colorado",644964,92.8,35.1,57079,292.6,15743,212287,1193051
"el paso","texas",827398,72,19.8,38259,790.6,13494,210200,648203
"elbert","colorado",23383,96.8,30.2,79367,12.5,517,1933,9375
"elbert","georgia",19684,75.8,11.4,32634,57.4,457,4854,16698
"elk","kansas",2720,89.5,16.8,34246,4.5,73,338,2042
"elk","pennsylvania",31550,89.9,15.1,42854,38.6,914,14602,25016
"elkhart","indiana",199619,79.9,17.9,47308,426.5,4830,102109,146847
"elko","nevada",51216,84.7,16.1,69459,2.8,1065,18971,55386
"elliott","kentucky",7780,71.7,6.3,25769,33.5,41,310,1149
"ellis","kansas",29053,91.5,31.8,43713,31.6,1123,12667,42390
"ellis","oklahoma",4104,87,22.8,45017,3.4,112,825,437
"ellis","texas",153969,83.5,20.8,62639,159.9,2455,32677,182997
"ellsworth","kansas",6494,90.4,21.8,43125,9.1,181,1801,6000
"elmore","alabama",80629,84.9,21.2,54831,128.2,1096,14103,67040
"elmore","idaho",26223,84.8,16.2,43691,8.8,426,3720,22347
"emanuel","georgia",22898,73.5,10,30427,33.2,393,4889,9939
"emery","utah",10933,89,13.1,50800,2.5,196,2744,19689
"emmet","iowa",10120,87.7,16.7,44357,26,336,3650,7625
"emmet","michigan",32915,92.7,29.6,50269,69.9,1460,13313,20147
"emmons","north dakota",3491,80,14.1,36903,2.4,127,762,1786
"erath","texas",39321,80.9,24.5,40096,35,909,12033,29898
"erie","new york",919086,88.9,29.8,48805,881.4,22313,405981,1545847
"erie","ohio",76398,89.2,20,47466,306.4,1879,28036,41156
"erie","pennsylvania",280646,89.5,23.6,44503,351.1,6246,114273,242442
"escambia","alabama",37994,73.7,11.8,31638,40.5,747,9454,28660
"escambia","florida",302715,87.1,23.3,43707,453.4,6529,96255,165447
"esmeralda","nevada",775,80.5,16.2,29438,0.2,17,119,0
"essex","massachusetts",755618,88.4,36.4,65785,1508.8,17874,267837,1245845
"essex","new jersey",787744,82.4,31.7,55876,6211.5,18681,288475,18577782
"essex","new york",38961,87.9,24.8,46629,21.9,1159,9974,28368
"essex","vermont",6226,83,15.2,37679,9.5,122,503,2443
"essex","virginia",11233,79.3,16.2,44581,43.4,301,3308,9332
"estill","kentucky",14493,70.5,6.7,28148,58,181,1737,7567
"etowah","alabama",104392,81.7,15.3,37772,195.2,1979,28470,66760
"eureka","nevada",2001,88.2,22.6,61908,0.5,41,NA,382
"evangeline","louisiana",33710,67.5,12.3,34848,51.3,528,6300,14221
"evans","georgia",10689,75.9,12.7,38000,60.2,220,3771,5256
"fairfax","virginia",1118602,91.9,58.2,108439,2766.8,28871,569388,25625820
"fairfield","connecticut",933835,88.4,44,82558,1467.2,26725,398342,36859317
"fairfield","ohio",147474,91.6,24.9,58249,289.8,2550,32929,94171
"fairfield","south carolina",23363,78.9,14.8,34117,34.9,318,5641,7654
"fall river","south dakota",6971,90,20.9,34948,4.1,224,2188,4622
"fallon","montana",3024,87.9,15.9,49573,1.8,145,1083,1787
"falls","texas",17610,76.3,11.7,31543,23.3,235,1873,11629
"fannin","georgia",23492,78.3,14.8,34554,61.2,541,4344,15023
"fannin","texas",33831,81.1,14.6,44136,38.1,466,4646,14150
"faribault","minnesota",14263,89.9,16.6,43214,20.4,457,4321,27303
"faulk","south dakota",2377,85.8,15.7,40125,2.4,68,418,1147
"faulkner","arkansas",118704,87.6,25.9,47649,174.8,2372,35818,230526
"fauquier","virginia",66542,90.4,32.3,87958,100.7,1766,15891,73676
"fayette","alabama",16983,74.6,10.9,33378,27.5,334,3656,7916
"fayette","georgia",107524,93.5,41.7,81498,548.3,3113,36287,82864
"fayette","illinois",22014,83.3,13.7,43081,30.9,481,4741,9562
"fayette","indiana",24029,76.9,8.7,35802,112.9,459,5188,9560
"fayette","iowa",20793,89.2,16.9,42108,28.6,563,6071,12451
"fayette","kentucky",305489,88.5,39.3,48306,1042.8,8165,139249,750333
"fayette","ohio",28880,80.9,13.4,39263,71.4,593,9412,13341
"fayette","pennsylvania",135660,83.3,13.7,36605,172.8,2697,36720,61493
"fayette","tennessee",38659,84.1,20.4,57437,54.5,548,6314,14464
"fayette","texas",24695,80.1,17.6,47285,25.8,727,6647,11354
"fayette","west virginia",45869,78.4,10.8,32940,69.6,795,8691,13197
"fentress","tennessee",17940,70.4,10,29245,36,242,3349,8938
"fergus","montana",11435,89.3,22.2,37601,2.7,439,3221,3966
"ferry","washington",7705,86.1,15.5,35684,3.4,132,838,3325
"fillmore","minnesota",20834,87.3,18.7,47940,24.2,624,4680,9945
"fillmore","nebraska",5771,93.3,16.8,44031,10.2,215,1523,3313
"finney","kansas",37200,71.8,19.1,51179,28.2,992,13937,19132
"fisher","texas",3844,82.9,15.9,43724,4.4,68,509,1807
"flagler","florida",98359,90.1,22,48708,197.1,1733,15813,109471
"flathead","montana",91633,92,27.6,45588,17.9,3847,31357,69451
"fleming","kentucky",14560,75.8,12.7,31979,41.2,239,2129,3946
"florence","south carolina",137948,81.6,20.5,41325,171.1,3105,54280,73077
"florence","wisconsin",4482,87.8,14.5,43000,9.1,106,463,254
"floyd","georgia",96177,76.8,18.1,43129,188.9,1927,32780,55793
"floyd","indiana",75283,87.7,21.7,52803,504.1,1742,25761,112320
"floyd","iowa",16056,91,16.1,42247,32.6,414,4822,8310
"floyd","kentucky",38949,68.8,12.2,28221,100.3,815,8760,15690
"floyd","texas",6367,72.6,17.3,35967,6.5,165,966,9446
"floyd","virginia",15390,79.2,19.3,40761,40.2,302,1973,8069
"fluvanna","virginia",25967,85.2,28.1,68615,89.8,370,2381,15429
"foard","texas",1307,75.6,21.1,31006,1.9,28,170,766
"fond du lac","wisconsin",101843,88.6,18.7,52717,141.2,2393,38783,130409
"ford","illinois",14008,86.9,16.3,50332,29,377,3962,11245
"ford","kansas",34752,69.1,18,49061,30.8,767,15401,55658
"forest","pennsylvania",7667,80.7,7.8,36006,18.1,111,1414,3570
"forest","wisconsin",9206,86.1,12.8,38176,9.2,247,1646,4849
"forrest","mississippi",76894,83.6,26.2,35805,160.7,1846,30777,117893
"forsyth","georgia",187928,90.6,42.8,88262,783.5,5055,58013,101926
"forsyth","north carolina",358137,87.3,31.3,46417,859.2,8197,159288,899048
"fort bend","texas",627293,88.6,40.7,82571,679.5,9705,119383,556463
"foster","north dakota",3392,88.3,19.3,47500,5.3,147,1403,5044
"fountain","indiana",17119,83.7,10.9,44802,43.6,322,4687,14851
"franklin","alabama",31761,71.6,11.4,35831,50,549,9765,9413
"franklin","arkansas",18045,83.7,12.4,34819,29.8,268,3180,9197
"franklin","florida",11686,79.4,17.6,37017,21.6,298,2052,5481
"franklin","georgia",21894,73.5,14,33086,84.5,422,5508,8306
"franklin","idaho",12786,90.9,18,46344,19.3,289,1956,6634
"franklin","illinois",39407,84.9,12.8,36383,96.8,776,7068,21810
"franklin","indiana",22969,84.8,16.8,52234,60.1,439,5086,15002
"franklin","iowa",10554,83.1,15.1,46461,18.4,325,3042,10349
"franklin","kansas",25906,90.8,19.5,50231,45.5,570,9518,19311
"franklin","kentucky",49804,85.5,27.5,47062,237.2,1134,14882,444513
"franklin","louisiana",20561,68.3,11.4,34105,33.2,398,4126,5092
"franklin","maine",30630,88.7,23.6,40502,18.1,793,9255,17591
"franklin","massachusetts",71540,91.2,32.3,52246,102.1,1571,19931,115704
"franklin","mississippi",7918,76.6,10.1,33250,14.4,117,1177,3594
"franklin","missouri",101412,84.9,16.7,50098,110,2576,31434,66676
"franklin","nebraska",3188,91.3,16.5,40556,5.6,73,434,891
"franklin","new york",51795,83.3,17.4,43673,31.7,1029,11039,22637
"franklin","north carolina",61475,80.1,15.4,44598,123.3,919,8983,21128
"franklin","ohio",1195537,89.3,35.5,50045,2186.1,26653,561986,223441040
"franklin","pennsylvania",151275,84.3,18.7,51171,193.7,3010,45875,108351
"franklin","tennessee",40772,79.4,17.8,41726,74,665,9370,77317
"franklin","texas",10640,83.8,22.9,47500,37.3,174,6042,6131
"franklin","vermont",48214,88.3,21.1,55181,75.3,984,11983,14422
"franklin","virginia",56411,81.1,17.6,47606,81.3,1121,10865,20960
"franklin","washington",85845,68.8,15.1,50731,62.9,1358,17098,48351
"frederick","maryland",239582,91.5,36.6,82668,353.5,5730,79271,367516
"frederick","virginia",80317,84.3,24.2,66440,189.4,1399,20843,89720
"freeborn","minnesota",31054,87.3,14.2,43447,44.2,812,11148,13418
"freestone","texas",19515,80.4,13.5,45816,22.6,344,3786,5623
"fremont","colorado",46788,83.9,16.5,38979,30.5,832,7610,20688
"fremont","idaho",12957,87.2,18.6,42178,7.1,279,1330,6197
"fremont","iowa",7147,91.4,18,49934,14.6,187,2196,2690
"fremont","wyoming",41110,89.8,21.4,48788,4.4,1344,11520,90095
"fresno","california",947895,72.8,19.5,46903,156.2,15700,227628,553119
"frio","texas",17702,63.8,8.3,37769,15.2,273,3521,12781
"frontier","nebraska",2741,94,19.4,47552,2.8,73,482,12477
"fulton","arkansas",12318,81,11.5,33281,19.8,175,1441,4591
"fulton","georgia",977773,90.1,48.1,57582,1748,32776,685868,7597379
"fulton","illinois",36651,84,14,42963,42.8,677,6846,9235
"fulton","indiana",20737,85.8,13.4,42330,56.6,450,5390,4719
"fulton","kentucky",6525,78.1,11.3,34545,33.2,136,2432,1021
"fulton","new york",54925,83.4,14.9,45289,112.1,1180,13701,48229
"fulton","ohio",42513,88.7,15.1,51851,105.3,946,14496,19330
"fulton","pennsylvania",14772,82.8,10.7,45960,33.9,267,4845,6556
"furnas","nebraska",4907,86.7,17.2,38650,6.9,178,1436,510
"gadsden","florida",46528,76.3,13.2,33453,89.8,638,8854,33509
"gage","nebraska",21806,90.9,19.7,45573,26.2,642,6825,13741
"gaines","texas",18413,61.9,13.3,47157,11.7,358,3420,3507
"gallatin","illinois",5430,78.6,9.8,38577,17.3,97,650,10352
"gallatin","kentucky",8479,72.5,9.7,45400,84.8,91,643,1304
"gallatin","montana",92614,96,45.1,51391,34.4,4752,37258,210281
"gallia","ohio",30708,81.6,14.5,36918,66.3,540,9628,10240
"galveston","texas",300484,86.4,27.3,59645,769.9,5197,78831,242834
"garden","nebraska",1953,91.2,19.9,35861,1.2,51,376,766
"garfield","colorado",56953,85.3,24.8,63929,19.1,2428,18169,19340
"garfield","montana",1261,88.5,14.2,37500,0.3,26,127,765
"garfield","nebraska",2007,90.9,13.3,38973,3.6,93,602,700
"garfield","oklahoma",61189,86.5,23.1,41688,57.2,1650,22214,30757
"garfield","utah",5095,91.2,20.9,46029,1,133,1132,6769
"garfield","washington",2228,94.4,20.6,47379,3.2,45,334,1276
"garland","arkansas",96903,85.1,20.6,38210,141.7,2663,31328,80060
"garrard","kentucky",16913,79.5,14,40137,73.5,218,1535,4585
"garrett","maryland",29854,84.7,17.3,45280,46.5,907,11092,34420
"garvin","oklahoma",27297,82.8,15.5,39171,34.4,670,7419,8552
"garza","texas",6412,62.4,9.9,42883,7.2,122,1221,1657
"gasconade","missouri",14972,83.7,14.8,40788,29.4,418,4305,5438
"gaston","north carolina",208049,80.1,18,43052,578.8,3868,58661,140323
"gates","north carolina",11869,83.4,10.7,45183,35.8,127,857,1034
"geary","kansas",38013,91.3,19.9,45649,89.3,599,7897,25281
"geauga","ohio",93680,89.9,34.3,66229,233.4,2726,27533,77592
"gem","idaho",16673,84,12.9,44442,29.8,331,2109,4730
"genesee","michigan",418408,88.4,18.9,43418,668.5,7810,111270,354620
"genesee","new york",59977,90.5,20.4,50861,121.9,1332,16714,41082
"geneva","alabama",26931,74.6,10.3,35237,46.6,417,3884,9419
"gentry","missouri",6777,83.7,12.8,36307,13.7,205,1760,2806
"george","mississippi",22930,85.3,10.6,45365,47.2,317,3141,5634
"georgetown","south carolina",60189,84.5,22,42677,73.9,1716,17585,91525
"gibson","indiana",33458,89.4,14.4,48171,68.7,711,16698,6684
"gibson","tennessee",49626,80.9,15.2,37577,82.4,934,11846,20986
"gila","arizona",53144,84.1,15.5,37905,11.3,1017,11413,18097
"gilchrist","florida",16815,81.3,11.4,38467,48.4,196,1349,14657
"giles","tennessee",29072,79.2,13.2,37981,48.3,543,7337,15979
"giles","virginia",16928,80.7,16.7,43012,48.6,290,3622,14563
"gillespie","texas",25153,86.4,25.9,54843,23.5,888,7736,16231
"gilliam","oregon",1953,86.7,18.1,42260,1.6,69,534,3222
"gilmer","georgia",28190,75.5,14.3,37091,66.3,537,5628,20667
"gilmer","west virginia",8732,74.7,12.5,33309,25.7,134,1257,2822
"gilpin","colorado",5491,94.1,27.4,59394,36.3,110,4794,4227
"glacier","montana",13711,80.8,18.4,40109,4.5,255,1946,3960
"glades","florida",13107,74,10.3,39611,16,92,865,6792
"gladwin","michigan",25484,85.2,11.3,38160,51.2,407,3539,19554
"glascock","georgia",3142,73.8,9.9,36275,21.4,25,209,3836
"glasscock","texas",1259,83.2,20,72188,1.4,20,NA,2808
"glenn","california",27992,74,15.5,43239,21.4,473,4327,6147
"gloucester","new jersey",289586,90,27.4,74830,895.3,5780,84157,206579
"gloucester","virginia",36886,87.1,20,62067,169.2,880,7128,41423
"glynn","georgia",81022,86.1,25.9,49828,189.7,2393,29135,30945
"gogebic","michigan",16084,91.8,18.4,34917,14.9,412,4260,77280
"golden valley","montana",839,84.6,21.4,36250,0.8,17,NA,382
"golden valley","north dakota",1804,91.4,21.3,35402,1.7,71,456,1529
"goliad","texas",7351,85.2,16.4,51389,8.5,121,794,382
"gonzales","texas",20045,69,12.8,38623,18.6,387,4740,10133
"goochland","virginia",21347,84.5,37.1,81288,77.2,594,11469,30252
"goodhue","minnesota",46336,91,22.2,56099,61,1312,19227,34228
"gooding","idaho",15291,76.6,12.1,40854,21.2,332,2521,1593
"gordon","georgia",55766,74.3,13.6,41336,155.1,1006,18012,26711
"goshen","wyoming",13636,90.3,21.5,42126,6,349,3019,11395
"gosper","nebraska",2029,95,16.3,42875,4.5,66,241,3187
"gove","kansas",2729,92.1,16.3,41853,2.5,129,835,381
"grady","georgia",25440,73.6,10.5,32091,55,407,3795,7318
"grady","oklahoma",53118,85.3,16.6,47456,47.6,1050,10685,20765
"grafton","new hampshire",89181,91,36,53000,52.2,2896,48525,237453
"graham","arizona",37416,82.6,14.4,43083,8.1,512,8633,27279
"graham","kansas",2578,90.6,21.1,41008,2.9,116,773,1276
"graham","north carolina",8700,79.9,12.1,32255,30.3,161,1899,2841
"grainger","tennessee",22706,68.6,7.9,31711,80.7,218,1971,9306
"grand","colorado",14195,94.3,29.6,64281,8,818,6824,15110
"grand","utah",9328,84.8,27,42004,2.5,435,3548,0
"grand forks","north dakota",67472,92.6,33.2,46050,46.5,1856,30738,44626
"grand isle","vermont",6983,92.8,28.9,59566,85.2,180,636,1310
"grand traverse","michigan",89112,92.9,29.8,50629,187.3,3278,39944,99845
"granite","montana",3109,89.2,26.8,38179,1.8,103,489,424
"grant","arkansas",17986,84,15.1,50927,28.3,266,2904,11115
"grant","indiana",69330,84,16.3,39377,169.2,1366,26001,74308
"grant","kansas",7923,82,17.5,59127,13.6,217,2287,15218
"grant","kentucky",24485,81.6,11.2,43755,95.6,380,4125,6972
"grant","louisiana",22068,77.1,10.6,39988,34.7,182,1617,4465
"grant","minnesota",5944,88.7,17.2,43777,11,203,1427,4882
"grant","nebraska",629,93.4,15.5,39531,0.8,32,101,254
"grant","new mexico",29388,85.2,24.5,36925,7.4,654,6877,9134
"grant","north dakota",2333,86.7,15.3,41821,1.4,75,445,762
"grant","oklahoma",4516,90.1,21.2,42227,4.5,115,867,1125
"grant","oregon",7317,89,17,34367,1.6,241,1386,4353
"grant","south dakota",7259,85.8,18.4,44444,10.8,285,3186,3191
"grant","washington",91723,75.2,15.2,44237,33.3,1717,19089,73601
"grant","west virginia",11816,79.4,12.5,40008,25,232,2490,7648
"grant","wisconsin",51087,89.2,19,45022,44.7,1236,13471,86697
"granville","north carolina",60436,81.7,15.3,49090,112.7,809,13764,24977
"gratiot","michigan",42063,87.4,13.1,39867,74.7,737,10674,27774
"graves","kentucky",37544,80.8,14.6,35514,67.3,699,9308,32381
"gray","kansas",6030,75.5,20.2,55559,6.9,216,1477,3956
"gray","texas",22978,78.8,12.9,42845,24.3,633,6460,16861
"grays harbor","washington",71692,84.4,14.2,42729,38.3,1709,15169,16291
"grayson","kentucky",25964,72.3,7.2,32919,51.8,476,5855,14662
"grayson","texas",121935,85.7,19.8,46993,129.6,2464,38460,82722
"grayson","virginia",15183,73.2,11.9,31599,35.1,174,1183,10564
"greeley","kansas",1298,88.5,19.1,58971,1.6,43,345,892
"greeley","nebraska",2458,92.1,14.9,42396,4.5,69,406,892
"green","kentucky",11315,76.1,11.2,35313,39.4,163,1215,5481
"green","wisconsin",36909,90.2,19.1,53933,63.1,946,11871,21712
"green lake","wisconsin",19039,87.2,15.7,48937,54.5,493,5795,7270
"greenbrier","west virginia",35820,79.4,17,35180,34.8,958,11740,13009
"greene","alabama",8876,73,10.6,23004,14,97,1102,1880
"greene","arkansas",43163,82.2,12.1,39090,72.9,785,14012,22923
"greene","georgia",16092,74,18.7,38209,41.3,381,4358,9938
"greene","illinois",13576,85.6,13.3,42193,25.6,266,1827,4967
"greene","indiana",32940,84.8,11,43869,61.1,595,5177,10364
"greene","iowa",9153,87.1,18.2,44981,16.4,260,2556,5750
"greene","mississippi",14311,74.3,8.6,40404,20.2,123,841,1145
"greene","missouri",280626,89.3,27.8,41622,407.5,7960,138882,309679
"greene","new york",48673,84.8,18.6,47033,76.1,1143,11249,30956
"greene","north carolina",21429,75.5,11.2,41073,80.3,236,1748,10726
"greene","ohio",163587,92.2,34.7,57553,390.5,2957,47739,376834
"greene","pennsylvania",38085,85.4,15,42565,67.2,708,13552,22995
"greene","tennessee",68819,79.2,14.8,36310,110.6,1096,20894,38106
"greene","virginia",18771,80.9,21.6,58550,117.8,314,2541,6776
"greenlee","arizona",8802,86.4,11.9,49390,4.6,75,2170,3741
"greensville","virginia",11851,71.6,7.8,42000,41.5,107,2291,17486
"greenup","kentucky",36707,79.8,15.6,41902,107.2,486,4895,13116
"greenville","south carolina",467605,85,30.3,48518,574.7,11978,208518,1179393
"greenwood","kansas",6454,90.8,15.4,37543,5.9,181,1150,3765
"greenwood","south carolina",69756,80.6,21.9,39366,153.2,1386,23293,27358
"greer","oklahoma",6082,78.4,13,38882,9.8,88,745,382
"gregg","texas",122658,82.5,20.5,44608,445.4,4055,64681,81006
"gregory","south dakota",4265,86.6,15.1,35975,4.2,178,1072,2296
"grenada","mississippi",21682,76.3,17.2,33123,51.9,549,7982,18806
"griggs","north dakota",2362,87.3,18,43000,3.4,97,690,636
"grimes","texas",26783,76.6,11,40509,33.8,365,5208,7528
"grundy","illinois",50281,91.3,18.1,64592,119.8,1074,14721,21114
"grundy","iowa",12448,92.1,20.7,55848,24.8,301,2831,8822
"grundy","missouri",10338,85.4,14.5,36590,23.6,251,2623,6618
"grundy","tennessee",13650,65,7.8,25890,38,163,1358,8682
"guadalupe","new mexico",4603,77.8,7.8,26152,1.5,101,1087,1533
"guadalupe","texas",139841,85.4,24.1,61608,184.9,1811,25647,96314
"guernsey","ohio",39817,84.5,11.5,38179,76.8,846,12331,15210
"guilford","north carolina",500879,87.1,32.8,46288,756.4,13065,243329,916116
"gulf","florida",15718,77.3,13.3,41291,28.1,305,2029,11620
"gunnison","colorado",15475,92.7,47,50073,4.7,1064,6383,13943
"guthrie","iowa",10777,91.3,19.3,50000,18.5,332,2517,8290
