subregion,region,pop,high,college,income,poppermile,establishments,employees
mcintosh,georgia,13839,77.5,15.2,37194,33.8,191,1236
meriwether,georgia,21273,70.1,9.2,37028,43.9,304,2962
miller,georgia,5969,78.1,11.3,33248,21.7,131,1097
mitchell,georgia,23144,68.1,10.7,37597,45.9,374,6291
monroe,georgia,26637,78.7,18.3,48632,66.8,491,6656
montgomery,georgia,8913,81.7,15.4,34933,38.1,108,1022
morgan,georgia,17881,80.5,24.5,46918,51.4,450,5610
murray,georgia,39392,68.4,7.4,37004,115,404,7741
muscogee,georgia,198413,84.3,21.7,41088,877.5,4314,76940
newton,georgia,101505,83.6,19.4,51691,367.3,1312,16391
oconee,georgia,33619,90,45.2,75136,178,942,7808
oglethorpe,georgia,14618,76.1,14.8,43255,33.9,170,1088
paulding,georgia,144800,87.9,22.3,63023,455.8,1586,14363
peach,georgia,27622,80.2,17.8,41333,184.3,467,5944
pickens,georgia,29268,80.4,21.9,50582,126.8,644,5694
pierce,georgia,18844,77.5,11.4,37489,59.3,313,2943
pike,georgia,17810,83.3,15.6,56433,82.7,220,1412
polk,georgia,41188,72.8,11.2,38514,133.6,595,9667
pulaski,georgia,11720,76.2,7.3,32424,48.2,189,1947
putnam,georgia,21198,81.7,18.9,41756,61.6,373,4517
quitman,georgia,2404,67.8,7.6,32656,16.6,34,209
rabun,georgia,16297,83.4,24.2,33533,44,449,3784
randolph,georgia,7327,72.1,14.8,29071,18,130,1289
richmond,georgia,202587,82.3,19.7,39090,618.4,4307,82835
rockdale,georgia,85820,85.1,23.7,55819,656.5,1962,27104
schley,georgia,4990,67.5,11.3,34691,30,63,741
screven,georgia,14202,75,11.9,31963,22.6,221,2766
seminole,georgia,8947,81.1,10.9,29639,37.1,183,1489
spalding,georgia,63865,75,14,41163,326.1,1134,16945
stephens,georgia,25891,77.2,14.2,37502,146.1,546,7569
stewart,georgia,6042,71.4,12,30417,13.2,70,
sumter,georgia,31554,76.1,18.2,34416,68,656,9543
talbot,georgia,6517,77.4,11.2,33404,17.5,57,521
taliaferro,georgia,1680,60.1,8.5,24125,8.8,21,71
tattnall,georgia,25384,74.1,11.3,33863,53.2,294,2978
taylor,georgia,8420,70.3,6.8,27479,23.6,118,949
telfair,georgia,16349,73.3,10.2,23777,37.7,199,3017
terrell,georgia,9045,63.9,10.2,30953,27.8,176,1532
thomas,georgia,44724,81.7,19.1,34419,82.1,1068,15549
tift,georgia,41064,76.2,17,37414,154.9,1041,15178
toombs,georgia,27315,81.3,14,32462,74.8,682,8644
towns,georgia,10495,85.3,21,39309,62.9,293,2837
treutlen,georgia,6769,74.1,9.2,31848,34.5,85,699
troup,georgia,68468,79.8,19.6,41961,161.9,1393,30771
turner,georgia,8410,69.1,11.4,29851,31.3,141,1253
twiggs,georgia,8447,65.2,8.7,27715,25.2,68,731
union,georgia,21451,83.6,21.1,43146,66.3,516,5023
upson,georgia,26630,75.5,11,34068,84,454,5973
walker,georgia,68094,77.2,13.6,39578,154,700,10572
walton,georgia,84575,80.7,17.7,51347,257.2,1459,15057
ware,georgia,35821,80.9,13.4,35431,40.7,876,11299
warren,georgia,5578,71.8,5.9,33330,20.5,67,622
washington,georgia,20879,77.1,10.9,31784,31.2,346,5532
wayne,georgia,30305,78.8,10.7,39470,46.9,548,5850
webster,georgia,2793,81.1,11.8,29583,13.4,25,
wheeler,georgia,7888,75.5,8.1,31456,25.1,74,1055
white,georgia,27556,84.3,19.6,39666,112.8,573,4770
whitfield,georgia,103359,68.5,14.8,42379,353.2,2247,47083
wilcox,georgia,9068,74.9,9.2,31712,24.5,86,521
wilkes,georgia,10076,74.3,15.5,28989,22.6,208,2679
wilkinson,georgia,9577,79.9,12.4,37500,21.4,146,1999
worth,georgia,21741,73.2,8.3,38336,38,283,2411
ada,idaho,409061,93.1,35.2,55304,372.8,11898,164701
adams,idaho,3915,86.2,19.5,36845,2.9,125,435
bannock,idaho,83800,90.8,27,45347,74.5,1945,23563
bear lake,idaho,5907,90.8,16.6,43897,6.1,123,988
benewah,idaho,9117,87.6,12.1,37508,12,232,2182
bingham,idaho,45474,84.7,16.2,46169,21.8,796,9602
blaine,idaho,21146,90.7,45.1,62906,8.1,1344,9932
boise,idaho,6835,87.1,19.9,47128,3.7,141,490
bonner,idaho,40476,91,22.3,42989,23.6,1429,10968
bonneville,idaho,106684,91.3,26.7,51311,55.9,3189,42828
boundary,idaho,10808,82.3,11.9,35324,8.6,350,2234
butte,idaho,2740,90.9,18.7,37821,1.3,66,638
camas,idaho,1077,83,23.7,41184,1,25,171
canyon,idaho,193888,82.4,16.5,42943,321.6,3437,41541
caribou,idaho,6787,90,18.3,49740,3.9,185,2500
cassia,idaho,23249,77.3,15.8,39551,8.9,639,6645
clark,idaho,869,70.4,7.1,39792,0.6,14,77
clearwater,idaho,8590,85.4,14.2,42043,3.6,237,1883
custer,idaho,4331,90.2,22,43445,0.9,155,932
elmore,idaho,26223,84.8,16.2,43691,8.8,426,3720
franklin,idaho,12786,90.9,18,46344,19.3,289,1956
fremont,idaho,12957,87.2,18.6,42178,7.1,279,1330
gem,idaho,16673,84,12.9,44442,29.8,331,2109
gooding,idaho,15291,76.6,12.1,40854,21.2,332,2521
idaho,idaho,16308,87.8,13.9,36706,1.9,465,2974
jefferson,idaho,26684,87.3,19.8,52799,23.9,424,3221
jerome,idaho,22499,71.7,12.4,39232,37.5,526,5347
kootenai,idaho,142357,91.8,23.1,48075,111.3,4293,42855
latah,idaho,38184,93.7,43.7,39578,34.6,877,7943
lemhi,idaho,7758,90.2,21.2,40270,1.7,294,1573
lewis,idaho,3889,88.8,15.2,35344,8,130,789
lincoln,idaho,5277,75.5,10.8,45077,4.3,83,643
madison,idaho,37456,94.8,30.9,33791,80,735,13047
minidoka,idaho,20037,75.8,10,43194,26.5,410,4380
nez perce,idaho,39531,90.1,19.7,44540,46.3,1119,16119
oneida,idaho,4215,93.1,14.1,44435,3.6,82,592
owyhee,idaho,11439,75.3,8.9,32169,1.5,184,1687
payette,idaho,22639,83.2,14.6,44943,55.6,472,4356
power,idaho,7778,81.8,15.9,41797,5.6,157,2144
shoshone,idaho,12702,83.3,12.9,37934,4.9,356,3974
teton,idaho,10052,88.7,33.2,52444,22.6,402,1696
twin falls,idaho,78595,83.8,17.3,43146,40.2,2439,25427
valley,idaho,9545,93.5,36.8,52675,2.7,549,2834
washington,idaho,10099,78.5,17.8,37878,7,206,1566
adams,illinois,67197,89.9,21.2,45792,78.5,1815,29913
alexander,illinois,7748,75.8,7.9,27727,35,114,1209
bond,illinois,17644,88.4,22.8,50672,46.7,313,3695
boone,illinois,53940,85.5,19.8,61613,193,850,12250
brown,illinois,6914,79.9,10.7,42014,22.7,121,
bureau,illinois,34323,88.5,16.3,48046,40.2,772,9818
calhoun,illinois,5014,85.8,13.9,48958,20,93,628
carroll,illinois,15011,89.1,16.2,45433,34.6,411,3474
cass,illinois,13338,81.8,13.1,41139,36.3,260,4327
champaign,illinois,203276,92.9,42.1,44462,201.8,4107,67327
christian,illinois,34638,87.1,12.8,43964,49.1,736,8675
clark,illinois,16209,89,17.4,47933,32.6,326,3531
clay,illinois,13766,86,13.6,38905,29.5,354,4468
clinton,illinois,38061,88.1,19.5,57246,79.7,856,8803
coles,illinois,53655,89.5,24.2,38294,106,1230,17685
cook,illinois,5231351,83.7,33.7,54598,5495.1,127846,2193827
crawford,illinois,19600,86.3,14.8,43923,44.7,440,6899
cumberland,illinois,10968,88,12.7,43255,31.9,171,1602
de kalb,illinois,104704,91.2,28.2,54436,166.6,1952,25295
de witt,illinois,16434,89.8,17,48750,41.7,381,4631
douglas,illinois,19853,81.8,14.7,47921,48,595,6037
du page,illinois,927987,91.9,45.6,77598,2799.8,32918,567052
edgar,illinois,18191,88.6,17.2,42947,29.8,370,5285
edwards,illinois,6684,88.2,12.5,39071,30.2,154,
effingham,illinois,34353,90.1,19.3,50938,71.5,1172,17716
fayette,illinois,22014,83.3,13.7,43081,30.9,481,4741
ford,illinois,14008,86.9,16.3,50332,29,377,3962
franklin,illinois,39407,84.9,12.8,36383,96.8,776,7068
fulton,illinois,36651,84,14,42963,42.8,677,6846
gallatin,illinois,5430,78.6,9.8,38577,17.3,97,650
greene,illinois,13576,85.6,13.3,42193,25.6,266,1827
grundy,illinois,50281,91.3,18.1,64592,119.8,1074,14721
hamilton,illinois,8370,82.3,13,39000,19.5,196,1294
hancock,illinois,18891,90.5,18.9,43567,24.1,406,2783
hardin,illinois,4258,78.9,10.6,30875,24.3,69,755
henderson,illinois,7043,87.2,15.3,47944,19.3,103,659
henry,illinois,50155,87.7,20.3,50698,61.3,1088,13159
iroquois,illinois,29240,87.7,13.7,48248,26.6,712,6514
jackson,illinois,60071,89.9,35.6,32896,103.1,1348,17379
jasper,illinois,9614,89.7,15.1,47731,19.6,207,1784
jefferson,illinois,38720,85.5,15.2,42679,68,968,16811
jersey,illinois,22742,88.5,16.6,54469,62.2,434,4432
jo daviess,illinois,22549,89.9,23.3,52487,37.7,727,7049
johnson,illinois,12760,80.5,13,42172,36.6,179,1352
kane,illinois,522487,83.1,31.8,69496,990.8,12117,175282
kankakee,illinois,113040,85.8,17.3,49266,167.7,2361,35778
kendall,illinois,118105,92.1,33.7,82649,358.2,1922,20335
knox,illinois,52247,85.4,16.2,40112,73.9,1083,15265
la salle,illinois,112973,88.1,15.9,52469,100.4,2732,37297
lake,illinois,702120,88.6,41.5,79666,1585.6,19347,307559
lawrence,illinois,16604,79.3,10.5,38326,45.2,290,3337
lee,illinois,35037,86,15.4,49451,49.7,729,10148
livingston,illinois,38647,84.9,13.7,52835,37.3,908,11965
logan,illinois,30013,85.9,16.8,48714,49,625,7681
macon,illinois,110122,87.1,20.8,45987,190.8,2478,45784
macoupin,illinois,47231,88.3,15.3,48739,55.4,917,8614
madison,illinois,267883,89.8,23.3,53143,376.3,5877,84870
marion,illinois,38894,84.9,13.6,40097,68.9,949,10532
marshall,illinois,12327,90.7,16.5,51642,32.7,277,2792
mason,illinois,14327,83.8,15.9,42929,27.2,299,2394
massac,illinois,15234,84.3,15.6,40885,65,235,4396
mcdonough,illinois,32537,91.6,33.5,34186,55.3,686,9503
mchenry,illinois,308145,91.9,31.9,76909,511.9,7717,83244
mclean,illinois,172281,93.4,41.1,59410,143.3,3694,76610
menard,illinois,12722,90.7,21.2,56943,40.4,216,1372
mercer,illinois,16219,88.1,14,51216,29.3,299,2479
monroe,illinois,33357,91.5,23.6,69291,85.6,777,7473
montgomery,illinois,29620,84.1,12.5,41925,42.8,712,7163
morgan,illinois,35272,87.4,20.5,44731,62.5,881,12670
moultrie,illinois,14933,84.3,15.2,48982,44.2,305,4252
ogle,illinois,52848,87.9,19,57094,70.5,1083,13674
peoria,illinois,187254,89,28.3,50689,301.2,4613,108798
perry,illinois,22058,83,13.9,41333,50.6,419,4264
piatt,illinois,16504,91.9,22.8,58837,38.1,341,2357
pike,illinois,16308,84.9,12.1,40668,19.8,372,3176
pope,illinois,4272,87.2,10.7,38651,12.1,55,312
pulaski,illinois,5998,78.2,11.2,31712,30.9,100,
putnam,illinois,5886,88,15.1,52409,37.5,129,1060
randolph,illinois,32956,79.9,11.6,46148,58.2,681,10221
richland,illinois,16176,89.3,18.9,42305,45.1,466,5320
rock island,illinois,147457,86.8,22,46726,345,3308,61019
saline,illinois,24946,82.8,14,36083,65.6,585,7779
sangamon,illinois,199271,91.5,31.2,53508,227.4,5096,81550
schuyler,illinois,7457,88.6,17.8,43902,17.3,148,1245
scott,illinois,5290,88.5,18.3,50702,21.3,76,612
shelby,illinois,22196,88.2,14.5,44689,29.5,439,4121
st clair,illinois,268858,88.3,24.3,50109,410.6,5377,78424
stark,illinois,5946,89.3,14.3,49693,20.8,114,899
stephenson,illinois,46959,88.7,17.8,43410,84.5,1096,15088
tazewell,illinois,135949,90.9,23.5,54617,208.6,2783,43034
union,illinois,17647,82.6,18.6,40696,43.1,351,3331
vermilion,illinois,80727,85.8,14,40463,90.9,1492,23300
wabash,illinois,11727,87.3,16,47426,53.5,272,2897
warren,illinois,17731,85.5,18.6,42773,32.6,353,5532
washington,illinois,14598,87.1,18.1,53036,26.2,379,5602
wayne,illinois,16574,84.1,12.5,40654,23.5,351,3351
white,illinois,14568,85.3,12.7,43639,29.6,364,3322
whiteside,illinois,57846,86.5,15.6,46444,85.5,1272,17704
will,illinois,682518,90.2,31.3,76453,809.6,13911,187180
williamson,illinois,66674,88.4,22,41319,157.9,1578,22412
winnebago,illinois,292069,85.3,21.2,47597,575.2,6538,116861
woodford,illinois,38971,93,24.3,66198,73.3,762,8403
adams,indiana,34365,84,13.3,46549,101.4,721,11472
allen,indiana,360412,88.9,26.3,49767,540.6,8943,159289
bartholomew,indiana,79129,89,27.2,53692,188.7,1845,40314
benton,indiana,8804,89.2,15.1,47240,21.8,204,1458
blackford,indiana,12502,86.4,10.5,40214,77.3,246,2757
boone,indiana,58944,93.3,39.4,68284,133.9,1368,16984
brown,indiana,15083,88.5,22.9,50503,48.9,365,1909
carroll,indiana,20095,89,14.4,49232,54.1,395,4191
cass,indiana,38581,83.5,14.3,42679,94.5,748,13017
clark,indiana,111951,85.8,18.5,49130,295.6,2367,41651
clay,indiana,26837,87.6,14.3,46916,75.2,478,5330
clinton,indiana,33022,82.3,13.1,48352,82,593,8562
crawford,indiana,10665,81.1,12.5,40354,35.1,133,1321
daviess,indiana,32064,75.4,11.8,45231,73.7,823,9794
de kalb,indiana,42321,88,15.4,47099,116.4,978,17014
dearborn,indiana,49831,88.7,17.7,57146,164.1,956,13719
decatur,indiana,26042,84.8,13.8,47810,69.1,622,9794
delaware,indiana,117364,85.1,22.2,38730,300.1,2396,36601
dubois,indiana,42071,85.6,19.7,53997,98,1285,24980
elkhart,indiana,199619,79.9,17.9,47308,426.5,4830,102109
fayette,indiana,24029,76.9,8.7,35802,112.9,459,5188
floyd,indiana,75283,87.7,21.7,52803,504.1,1742,25761
fountain,indiana,17119,83.7,10.9,44802,43.6,322,4687
franklin,indiana,22969,84.8,16.8,52234,60.1,439,5086
fulton,indiana,20737,85.8,13.4,42330,56.6,450,5390
gibson,indiana,33458,89.4,14.4,48171,68.7,711,16698
grant,indiana,69330,84,16.3,39377,169.2,1366,26001
greene,indiana,32940,84.8,11,43869,61.1,595,5177
hamilton,indiana,289495,96,54.4,84449,696.4,7504,101163
hancock,indiana,70933,91.7,24.8,62184,228.8,1364,16545
harrison,indiana,39134,87.5,14.8,52263,81.2,660,8812
hendricks,indiana,150434,93.4,31.6,68192,357.4,2839,47014
henry,indiana,49345,84.5,13.9,40519,126.2,820,10420
howard,indiana,82849,87.1,19.7,45022,282.4,1790,28734
huntington,indiana,36987,88.2,15.6,47137,97,876,12824
jackson,indiana,43083,85,13.4,45666,83.2,1016,17669
jasper,indiana,33456,87.5,14.3,55509,59.8,725,8353
jay,indiana,21366,84.6,9.5,40144,55.4,411,6505
jefferson,indiana,32554,84.2,18.2,43635,89.9,687,10479
jennings,indiana,28161,84.1,8.1,44815,75.7,407,6150
johnson,indiana,143191,90.7,26.4,62754,435.8,2969,39415
knox,indiana,38122,85.1,14.6,40391,74.5,958,13300
kosciusko,indiana,77609,84.5,20.2,51141,145.6,1885,33387
la porte,indiana,111246,85.5,17,46934,186.3,2387,33833
lagrange,indiana,37521,60.5,10.4,47057,97.8,766,9909
lake,indiana,493618,86.5,19.5,49443,994.1,9840,163902
lawrence,indiana,46078,82.2,12.9,43195,102.7,868,11216
madison,indiana,130348,86.8,16.8,44035,291.3,2295,33864
marion,indiana,918977,84.2,27.1,43197,2279.6,22929,492783
marshall,indiana,47024,84.3,16.8,48536,106.1,1047,15724
martin,indiana,10260,82.2,9.5,43592,30.8,191,2174
miami,indiana,36486,82.9,9.5,39746,98.7,560,6762
monroe,indiana,141019,91.5,42.5,38524,349.7,2963,47095
montgomery,indiana,38254,87.4,18,47929,75.6,850,12800
morgan,indiana,69356,85.5,15,56315,170.5,1165,11252
newton,indiana,14044,86.8,8.1,48108,35.5,264,2365
noble,indiana,47582,82.2,12.7,47768,115.7,893,15020
ohio,indiana,6079,82.6,12.8,50795,71.1,85,1263
orange,indiana,19690,79.7,12.2,37618,49.8,370,6794
owen,indiana,21380,81.7,9.1,43553,56,296,3692
parke,indiana,17069,80.8,13.9,42441,39,254,2058
perry,indiana,19462,82.1,8.9,45808,50.7,373,5182
pike,indiana,12766,84,10.2,40525,38.4,198,2356
porter,indiana,165682,91.6,25.5,62394,393,3391,49224
posey,indiana,25599,89.4,19.8,57757,63.3,494,8851
pulaski,indiana,13124,85.3,15.2,45029,30.9,325,3507
putnam,indiana,37750,85.9,16.7,50165,79,675,10442
randolph,indiana,25815,85.3,11.2,41544,57.9,479,5610
ripley,indiana,28583,85.8,15.1,49358,64.6,634,9867
rush,indiana,17095,85.3,14.8,47102,42.6,360,3552
scott,indiana,23791,76,10.1,40532,127,415,5332
shelby,indiana,44471,85.8,15,52156,108.1,908,14756
spencer,indiana,20837,85.7,15.4,54348,52.8,410,5369
st joseph,indiana,266344,87.5,26.2,45183,583,5922,112215
starke,indiana,23213,79.3,11.3,38961,75.6,319,2912
steuben,indiana,34124,90.2,19.9,48502,110.7,961,12146
sullivan,indiana,21188,85.9,13.4,47640,48,350,4215
switzerland,indiana,10424,77.5,8.9,43628,48.1,124,1871
tippecanoe,indiana,177513,90.5,35.8,43485,345.7,3294,60099
tipton,indiana,15695,89.1,15.3,53543,61.2,299,3036
union,indiana,7362,86.1,17,43912,46.6,116,868
vanderburgh,indiana,180858,87.9,21.9,43334,769.7,4957,105865
vermillion,indiana,16040,87.8,13.8,43856,63.1,284,3748
vigo,indiana,108428,85.7,21.1,39534,267.4,2561,45210
wabash,indiana,32361,86.1,17.1,44242,79.7,747,10555
warren,indiana,8342,81.8,13.7,49615,23.3,122,1409
warrick,indiana,60463,91.6,25.1,63446,155.1,1095,12798
washington,indiana,27921,78.7,10.3,39879,55,444,4097
wayne,indiana,68346,82.2,16.6,40427,171.5,1544,24632
wells,indiana,27652,89.2,14.4,48154,75.1,628,9514
white,indiana,24426,87.8,15.1,47752,48.8,638,6787
whitley,indiana,33342,90.6,15.6,51666,99.2,681,10218
adair,iowa,7481,90.9,14.3,47623,13.5,178,1635
adams,iowa,3911,89.9,17.2,44389,9.5,116,846
allamakee,iowa,14237,87.6,15.3,47096,22.4,411,4265
appanoose,iowa,12700,86.5,15.3,35230,25.9,327,3436
audubon,iowa,5910,87.9,15,41840,13.8,186,1189
benton,iowa,25827,92.2,17.8,55810,36.4,564,4243
black hawk,iowa,131820,89.2,25.2,44567,231.7,3200,64875
boone,iowa,26195,92.2,20.5,51582,46,570,6642
bremer,iowa,24479,93.5,27.4,58372,55.7,612,8192
buchanan,iowa,20942,90.8,18.2,54879,36.7,488,5166
buena vista,iowa,20592,78.7,22.4,46145,35.2,557,8428
butler,iowa,14986,88.9,14.3,50052,25.6,341,2582
calhoun,iowa,9909,91.5,18.7,44331,17,289,2327
carroll,iowa,20631,89.5,17.9,48038,36.6,889,10729
cass,iowa,13723,91.8,15.7,41444,24.7,480,4653
cedar,iowa,18416,92.3,19.1,57004,31.9,470,4279
cerro gordo,iowa,43788,91.7,21.5,45973,77.7,1384,21438
cherokee,iowa,11946,92.1,19,45668,20.9,360,4721
chickasaw,iowa,12276,88.4,14.4,42098,24.7,394,3704
clarke,iowa,9370,86.8,13.2,45610,21.5,189,3080
clay,iowa,16599,92.4,18.3,45462,29.4,627,7622
clayton,iowa,17835,90.9,15.3,46644,23.3,522,4878
clinton,iowa,48717,89.7,16.4,48063,70.7,1196,25437
crawford,iowa,17309,78.4,15.3,45423,23.9,459,6454
dallas,iowa,71967,93.3,41.1,71691,112.4,1540,31301
davis,iowa,8689,83.5,16,46651,17.4,170,1396
decatur,iowa,8253,84.2,16.8,34185,15.9,138,1823
delaware,iowa,17574,90.1,14.2,49375,30.7,497,5203
des moines,iowa,40340,90.4,18.3,43111,96.9,1123,19516
dickinson,iowa,16972,93.2,27,52704,43.8,762,7003
dubuque,iowa,95097,90.5,25.5,49663,154,2708,51097
emmet,iowa,10120,87.7,16.7,44357,26,336,3650
fayette,iowa,20793,89.2,16.9,42108,28.6,563,6071
floyd,iowa,16056,91,16.1,42247,32.6,414,4822
franklin,iowa,10554,83.1,15.1,46461,18.4,325,3042
fremont,iowa,7147,91.4,18,49934,14.6,187,2196
greene,iowa,9153,87.1,18.2,44981,16.4,260,2556
grundy,iowa,12448,92.1,20.7,55848,24.8,301,2831
guthrie,iowa,10777,91.3,19.3,50000,18.5,332,2517
hamilton,iowa,15344,89.9,16.6,46603,27.2,400,5155
hancock,iowa,11134,89.7,15.5,48996,19.9,293,2965
hardin,iowa,17302,90.4,19.8,46930,30.8,560,5540
harrison,iowa,14548,91.2,15.9,53750,21.4,354,2954
henry,iowa,20236,90.6,19.7,43510,46.4,506,7800
howard,iowa,9563,87,12.8,45682,20.2,268,2880
humboldt,iowa,9729,88.2,16.4,48075,22.6,329,3352
ida,iowa,7108,89.5,18.6,43918,16.4,244,2757
iowa,iowa,16189,92.9,21,57476,27.9,482,7945
jackson,iowa,19712,87.5,14.6,45042,31.2,546,4683
jasper,iowa,36602,91.3,17.4,48881,50.4,763,7828
jefferson,iowa,16867,92.6,30.3,47784,38.7,656,6423
johnson,iowa,136317,95.3,50.6,53703,213.1,3017,58663
jones,iowa,20639,90.6,16.6,50745,35.9,503,4538
keokuk,iowa,10374,89,13.6,42030,18.1,246,1928
kossuth,iowa,15346,90.8,16.6,49548,16,573,5582
lee,iowa,35617,87.5,14.8,42437,69.3,911,12601
linn,iowa,215295,93.5,30,55666,294.6,5335,113621
louisa,iowa,11278,81.7,12.5,50982,28.3,219,2808
lucas,iowa,8760,88,12.3,43184,20.7,182,2427
lyon,iowa,11757,87.1,16.1,49938,19.7,389,2764
madison,iowa,15654,93.9,20.2,56333,27.9,351,2628
mahaska,iowa,22443,89.8,18.9,46477,39.2,561,6816
marion,iowa,33419,91.3,23.5,53730,60.1,829,15260
marshall,iowa,40857,84.5,18.7,47691,71,823,15039
mills,iowa,14837,91.2,24.1,61796,34.4,294,2055
mitchell,iowa,10725,89.7,16.5,49389,23,331,3166
monona,iowa,9124,88,13.9,42283,13.3,235,2138
monroe,iowa,8063,87.2,16.7,43913,18.4,173,1679
montgomery,iowa,10566,87.4,15.5,38072,25.3,320,2974
muscatine,iowa,42879,85.5,18,51134,97.7,928,18560
obrien,iowa,14172,89.7,18.6,45995,25.1,516,5178
osceola,iowa,6193,85.6,13.3,45696,16.2,181,1481
page,iowa,15713,87.7,15.9,41503,29.8,400,5261
palo alto,iowa,9275,87.9,15.2,44063,16.7,278,2614
plymouth,iowa,24907,91.7,20.1,56387,29,692,9588
pocahontas,iowa,7150,91.9,17.3,42545,12.7,233,1901
polk,iowa,443710,91,33.8,57473,750.5,11719,230072
pottawattamie,iowa,92913,88.9,17.7,49924,98,2018,30891
poweshiek,iowa,18736,92.6,23.1,52413,32.3,548,8669
ringgold,iowa,5096,89.5,21.1,42213,9.6,141,975
sac,iowa,10153,89.7,18.8,44392,18,344,2380
scott,iowa,168799,91.2,30.3,51274,360.7,4396,80218
shelby,iowa,12069,90.8,17.4,46257,20.6,394,5554
sioux,iowa,34268,86.8,22.5,53922,43.9,1225,17821
story,iowa,91140,95.5,47.7,49733,156.3,2015,28288
tama,iowa,17536,88.7,16,48836,24.6,341,3533
taylor,iowa,6208,88.6,12.7,41554,11.9,134,1395
union,iowa,12594,89,15.8,41782,29.6,335,5228
van buren,iowa,7449,88.3,13.1,40640,15.6,160,1782
wapello,iowa,35366,84.6,15.5,40269,82.5,769,13994
warren,iowa,46891,95.1,26.7,63292,81.1,767,8049
washington,iowa,21914,88.6,19.5,51875,38.2,699,6496
wayne,iowa,6344,87.2,11.9,36365,12.2,160,1372
webster,iowa,37273,87.9,17.9,41695,53.1,1042,15410
winnebago,iowa,10600,90,20.8,46395,27.1,332,6101
winneshiek,iowa,21061,91.6,27.1,52042,30.5,623,9799
woodbury,iowa,102323,85.2,20.3,45844,117.1,2723,45578
worth,iowa,7519,90.1,16.2,50540,19,171,1700
wright,iowa,12991,87.7,14.6,43105,22.8,397,4195
allen,kansas,13319,89.3,16.6,40275,26.7,377,4697
anderson,kansas,7917,86.6,14.7,40753,14,211,1510
atchison,kansas,16813,88.8,21.4,44433,39.3,360,5724
barber,kansas,4861,92,20,41677,4.3,217,1340
barton,kansas,27557,85.6,19.6,44989,30.9,970,9585
bourbon,kansas,14897,88.2,21.5,39843,23.9,372,4726
brown,kansas,9881,89.1,16.3,36218,17.5,257,3377
butler,kansas,65827,92.2,25.2,57573,46.1,1275,12883
chase,kansas,2757,89.5,17.7,39095,3.6,73,410
chautauqua,kansas,3571,85.8,15.5,35791,5.7,83,483
cherokee,kansas,21226,85.8,13.4,41513,36.8,344,5151
cheyenne,kansas,2678,87.3,18.1,36364,2.7,106,555
clark,kansas,2181,91.4,23.3,42011,2.3,62,
clay,kansas,8531,92.4,17.3,41829,13.2,265,2474
cloud,kansas,9397,88.6,15.2,37073,13.3,310,2968
coffey,kansas,8502,92.3,20.2,49552,13.7,241,
comanche,kansas,1913,88.5,23.1,38750,2.4,81,423
cowley,kansas,36288,87.2,19.5,40924,32.3,753,11320
crawford,kansas,39361,88.7,27.8,36043,66.4,912,14043
decatur,kansas,2871,91.6,17.7,35887,3.3,103,666
dickinson,kansas,19762,90.9,19.5,49003,23.3,468,4924
doniphan,kansas,7864,88,18.3,45000,20.2,153,1298
douglas,kansas,112864,95.3,48.8,47063,243.1,2601,37058
edwards,kansas,2979,82.6,21.6,41406,4.9,102,647
elk,kansas,2720,89.5,16.8,34246,4.5,73,338
ellis,kansas,29053,91.5,31.8,43713,31.6,1123,12667
ellsworth,kansas,6494,90.4,21.8,43125,9.1,181,1801
finney,kansas,37200,71.8,19.1,51179,28.2,992,13937
ford,kansas,34752,69.1,18,49061,30.8,767,15401
franklin,kansas,25906,90.8,19.5,50231,45.5,570,9518
geary,kansas,38013,91.3,19.9,45649,89.3,599,7897
gove,kansas,2729,92.1,16.3,41853,2.5,129,835
graham,kansas,2578,90.6,21.1,41008,2.9,116,773
grant,kansas,7923,82,17.5,59127,13.6,217,2287
gray,kansas,6030,75.5,20.2,55559,6.9,216,1477
greeley,kansas,1298,88.5,19.1,58971,1.6,43,345
greenwood,kansas,6454,90.8,15.4,37543,5.9,181,1150
hamilton,kansas,2639,79.7,13.6,41351,2.7,69,528
harper,kansas,5911,86.9,16.7,42021,7.5,203,1661
harvey,kansas,34852,89.8,25.7,48880,64.3,788,12369
haskell,kansas,4256,73.1,15.8,49760,7.4,117,833
hodgeman,kansas,1963,90.1,23.6,44176,2.2,52,275
jackson,kansas,13449,93.4,18.7,54440,20.5,267,2900
jefferson,kansas,18945,92.8,22.8,58083,35.9,311,2160
jewell,kansas,3046,91,20,39713,3.4,80,519
johnson,kansas,559913,95.6,51.3,74761,1149.6,16871,296871
kearny,kansas,3968,77.7,14.7,50612,4.6,80,595
kingman,kansas,7863,89.2,19.6,45817,9.1,210,1934
kiowa,kansas,2496,92.1,22.1,39496,3.5,93,806
labette,kansas,21284,87.8,18,40587,33.5,482,8713
lane,kansas,1704,87.9,19.6,41536,2.4,73,388
leavenworth,kansas,77739,91.4,28.7,62853,164.7,1177,13817
lincoln,kansas,3174,90.5,18.8,41050,4.5,91,554
linn,kansas,9441,88,13.9,44408,16.3,165,
logan,kansas,2784,89.6,19.6,41289,2.6,117,805
lyon,kansas,33748,85.3,23.7,37954,39.8,835,11455
marion,kansas,12347,89.2,20.6,45941,13.4,299,2804
marshall,kansas,10022,90.2,12.8,42464,11.2,371,3998
mcpherson,kansas,29356,87.3,25,53332,32.5,892,13764
