subregion,region,pop,high,college,income,poppermile,establishments,employees
drew,arkansas,18743,81.9,19.8,32038,22.3,413,4842
faulkner,arkansas,118704,87.6,25.9,47649,174.8,2372,35818
franklin,arkansas,18045,83.7,12.4,34819,29.8,268,3180
fulton,arkansas,12318,81,11.5,33281,19.8,175,1441
garland,arkansas,96903,85.1,20.6,38210,141.7,2663,31328
grant,arkansas,17986,84,15.1,50927,28.3,266,2904
greene,arkansas,43163,82.2,12.1,39090,72.9,785,14012
hempstead,arkansas,22373,80.5,14.5,34885,31.1,394,6716
hot spring,arkansas,33394,81.2,12.3,38188,53.5,485,5974
howard,arkansas,13735,77.1,12.7,37146,23.4,290,5838
independence,arkansas,37025,81.5,13.2,34878,48,784,14820
izard,arkansas,13474,80.1,12.7,31865,23.6,209,1981
jackson,arkansas,17600,75.3,8,31352,28.4,314,3692
jefferson,arkansas,74723,82.6,16.9,37682,88.9,1408,22971
johnson,arkansas,25901,76.4,16,31400,38.7,387,7455
lafayette,arkansas,7447,77.6,12.8,30152,14.5,112,826
lawrence,arkansas,17012,75.8,9.4,32337,29.6,284,2789
lee,arkansas,10216,68.7,6.5,25270,17.3,130,992
lincoln,arkansas,14101,70.9,9,31480,25.2,157,1663
little river,arkansas,12919,82.1,12.5,38564,24.7,166,2837
logan,arkansas,21983,78.2,11.2,38447,31.6,389,3919
lonoke,arkansas,69839,85.6,17.3,51096,88.7,987,10709
madison,arkansas,15645,75.3,12.2,35579,18.8,184,2368
marion,arkansas,16568,84.8,14.5,34063,27.9,225,3030
miller,arkansas,43634,83,12.9,40200,69.5,713,11385
mississippi,arkansas,45562,75.7,12.6,34267,51.6,856,15660
monroe,arkansas,7828,71.5,13.7,28306,13.4,187,1621
montgomery,arkansas,9340,81.3,11.3,34934,12.2,141,942
nevada,arkansas,8925,76.4,10.3,38006,14.6,126,1810
newton,arkansas,8086,79.8,12.6,29702,10.1,90,647
ouachita,arkansas,25396,83.2,13.2,33008,35.6,539,7869
perry,arkansas,10339,81.5,11.5,42514,18.9,109,848
phillips,arkansas,20784,72.9,12.2,28225,31.3,445,4461
pike,arkansas,11247,78.8,11.3,32457,18.8,179,1593
poinsett,arkansas,24307,72.8,9.4,31939,32.4,356,3713
polk,arkansas,20471,81.6,10.6,32395,24.1,473,5193
pope,arkansas,62765,82.2,20.4,40325,76,1505,22622
prairie,arkansas,8458,76.7,9.9,36194,13.4,154,913
pulaski,arkansas,388953,88.8,31.3,45897,503.8,12007,208571
randolph,arkansas,17930,80,11.5,33072,27.6,328,3591
saline,arkansas,111845,88.6,22.9,52982,148,1745,18502
scott,arkansas,11010,76,11.1,38910,12.6,151,2075
searcy,arkansas,8007,72.9,8.5,29384,12.3,117,1028
sebastian,arkansas,127304,82.2,19,40680,236.4,3504,61739
sevier,arkansas,17177,70,9.2,35289,30.2,264,4961
sharp,arkansas,17054,83,12.8,29590,28.6,317,2658
st francis,arkansas,27858,74.1,10.2,26360,44.5,479,5644
stone,arkansas,12663,79.2,11.8,31364,20.4,231,2110
union,arkansas,40867,81.6,16.5,37794,40.1,1166,16873
van buren,arkansas,17030,81.3,12.7,32906,24.4,333,3175
washington,arkansas,211411,82.1,27.6,41474,215.6,4769,76535
white,arkansas,78493,82.5,18.4,41618,74.5,1515,22911
woodruff,arkansas,7100,72.9,9.6,27047,12.4,139,1289
yell,arkansas,21932,70.8,10.5,37477,23.9,316,4794
alameda,california,1554720,86,40.8,70821,2043.6,35921,567151
alpine,california,1129,92,32,59018,1.6,46,711
amador,california,37035,87.3,18.8,56180,64.1,750,7646
butte,california,221539,86.1,24,42971,134.4,4606,53193
calaveras,california,44742,92.4,20.7,55256,44.7,907,5579
colusa,california,21411,70.5,13,49558,18.6,357,3879
contra costa,california,1079597,88.5,38.4,79135,1465.2,21868,290961
del norte,california,28290,78.2,14.3,37588,28.4,449,4059
el dorado,california,180561,93,30.8,68815,106,4182,39870
fresno,california,947895,72.8,19.5,46903,156.2,15700,227628
glenn,california,27992,74,15.5,43239,21.4,473,4327
humboldt,california,134827,90.2,26.3,40376,37.7,3304,33551
imperial,california,176948,63.4,12.8,39402,41.8,2350,29516
inyo,california,18495,88.8,22.5,49571,1.8,531,5149
kern,california,856158,71.2,14.6,48021,103.3,11982,179232
kings,california,151364,70.7,12.5,48838,110.1,1599,22896
lake,california,63983,87.2,16.2,39525,51.5,1047,8671
lassen,california,33658,79.8,12.4,52484,7.7,415,3466
los angeles,california,9962789,76.1,29.2,56266,2419.6,245261,3648846
madera,california,152218,67.8,14,47724,70.6,1882,25329
marin,california,256069,92,54,89605,485.1,9483,94284
mariposa,california,17905,88.7,20.5,49174,12.6,351,3272
mendocino,california,87428,83.6,22.1,44527,25.1,2464,21148
merced,california,262305,66.7,12.3,43945,132.2,2830,39914
modoc,california,9327,83.1,16.2,35402,2.5,154,1310
mono,california,14348,86.3,30.3,60469,4.7,561,6451
monterey,california,426762,70.5,23.2,59737,126.5,8216,96528
napa,california,139045,82.6,30.7,68641,182.4,3880,56022
nevada,california,98292,94.9,32.4,58077,103.1,2978,26399
orange,california,3090132,83.4,36.2,75762,3807.7,86473,1300673
placer,california,361682,93.4,34.6,74645,247.6,9282,121639
plumas,california,19399,90.7,21.1,44151,7.8,621,3576
riverside,california,2268783,79.3,20.6,58365,303.8,33421,469182
sacramento,california,1450121,85.2,27.7,56553,1470.8,27029,406048
san benito,california,56884,75.3,18.3,65570,39.8,894,9426
san bernardino,california,2081313,77.8,18.6,55853,101.5,31204,511293
san diego,california,3177063,85.3,34.2,63857,735.8,75837,1128909
san francisco,california,825863,85.7,51.4,72947,17179.1,30924,493972
san joaquin,california,702612,76.6,17.6,53764,492.6,10697,159882
san luis obispo,california,274804,88.9,30.8,58630,81.7,7720,81045
san mateo,california,739311,88.4,43.9,87633,1602.2,19724,311675
santa barbara,california,431249,80.2,31.3,61896,155,11064,133803
santa clara,california,1837504,86.5,45.5,89064,1381,44568,865069
santa cruz,california,266776,84,38.1,66030,589.4,6673,68341
shasta,california,178586,87.6,19.7,44058,46.9,4205,46057
sierra,california,3086,88.2,18.6,50308,3.4,68,255
siskiyou,california,44154,88.8,22.6,37865,7.2,1104,8236
solano,california,420757,86.2,24.2,69914,503,6629,97762
sonoma,california,491829,86.4,31.8,64343,307.1,13080,144934
stanislaus,california,521726,75.6,16.4,50671,344.2,8289,122473
sutter,california,95022,78.2,18.9,50010,157.3,1678,18936
tehama,california,63406,80.3,12.6,38753,21.5,987,11009
trinity,california,13526,90.3,19.3,37672,4.3,258,1461
tulare,california,451977,67.8,12.9,43550,91.7,6109,83911
tuolumne,california,54008,88.3,17.9,47359,24.9,1343,12007
ventura,california,835981,82.5,31,76728,446.7,19576,238849
yolo,california,204118,84.1,38.4,57920,197.9,3807,57978
yuba,california,72926,78.3,12.7,46617,114.2,797,8745
adams,colorado,459598,81.5,20.7,56089,378.2,8146,131739
alamosa,colorado,16148,87.1,24.7,38299,21.4,495,5390
arapahoe,colorado,595546,90.6,38.3,59937,716.7,16789,239377
archuleta,colorado,12070,92.1,33.5,60170,8.9,459,2594
baca,colorado,3751,85.7,17.5,37111,1.5,87,602
bent,colorado,5773,78.4,11.3,35667,4.3,61,582
boulder,colorado,305318,93.7,57.7,66479,405.6,11419,131872
chaffee,colorado,18150,90.7,32.2,43684,17.6,822,5036
cheyenne,colorado,1874,84.1,15.6,47188,1,64,929
clear creek,colorado,9026,96.5,39.9,62756,23,341,2533
conejos,colorado,8275,82,20.6,34435,6.4,95,659
costilla,colorado,3594,75.8,15.3,25949,2.9,48,213
crowley,colorado,5365,68.9,10.7,40636,7.4,42,605
custer,colorado,4249,94.4,30.8,43358,5.8,141,574
delta,colorado,30432,87,17.7,41856,27.1,853,6288
denver,colorado,634265,84.7,41.3,47499,3922.6,21961,373970
dolores,colorado,1994,88.1,15.5,44077,1.9,45,191
douglas,colorado,298215,97.5,54.6,101193,339.7,7414,78310
eagle,colorado,51874,87.8,46.9,70914,31,3126,29625
el paso,colorado,644964,92.8,35.1,57079,292.6,15743,212287
elbert,colorado,23383,96.8,30.2,79367,12.5,517,1933
fremont,colorado,46788,83.9,16.5,38979,30.5,832,7610
garfield,colorado,56953,85.3,24.8,63929,19.1,2428,18169
gilpin,colorado,5491,94.1,27.4,59394,36.3,110,4794
grand,colorado,14195,94.3,29.6,64281,8,818,6824
gunnison,colorado,15475,92.7,47,50073,4.7,1064,6383
