"","Zip","BotCount","MedianIncome","Population","IncomeRounded","PopulationRoundes"
"1",1007,1,79076,12962,80000,13000
"2",1010,1,75625,3340,80000,4000
"3",1013,1,36578,22907,40000,23000
"4",1069,1,50345,8789,60000,9000
"5",1083,1,55030,2887,60000,3000
"6",1108,1,37411,26060,40000,27000
"7",1118,1,55853,14283,60000,15000
"8",1128,1,63177,3040,70000,4000
"9",1129,1,58704,6982,60000,7000
"10",1240,1,60458,4787,70000,5000
"11",1266,1,64328,1681,70000,2000
"12",1301,1,47833,18444,50000,19000
"13",1354,1,57550,1367,60000,2000
"14",1364,1,44676,7633,50000,8000
"15",1375,1,59722,3769,60000,4000
"16",1460,1,103751,8147,110000,9000
"17",1473,1,79073,6906,80000,7000
"18",1475,1,56274,9597,60000,10000
"19",1510,1,57957,13261,60000,14000
"20",1523,1,80938,7102,90000,8000
"21",1524,1,74316,6356,80000,7000
"22",1540,1,62079,10958,70000,11000
"23",1588,1,67286,8644,70000,9000
"24",1590,1,104730,8247,110000,9000
"25",1602,1,61861,21596,70000,22000
"26",1605,1,41023,24799,50000,25000
"27",1610,1,21388,15545,30000,16000
"28",1701,1,92018,31114,1e+05,32000
"29",1721,1,91904,14602,1e+05,15000
"30",1730,1,107033,12547,110000,13000
"31",1741,1,155000,4798,160000,5000
"32",1776,1,152789,16826,160000,17000
"33",1803,1,90659,22954,1e+05,23000
"34",1835,1,76253,13426,80000,14000
"35",1863,1,77458,8558,80000,9000
"36",1867,1,103358,23657,110000,24000
"37",1887,1,97107,21279,1e+05,22000
"38",1915,1,71363,39854,80000,40000
"39",1949,1,87728,7748,90000,8000
"40",2019,1,77420,15248,80000,16000
"41",2021,1,88829,20755,90000,21000
"42",2025,1,114214,7255,120000,8000
"43",2026,1,85131,23478,90000,24000
"44",2043,1,99910,19867,1e+05,20000
"45",2048,1,93593,22393,1e+05,23000
"46",2052,1,123176,12254,130000,13000
"47",2066,1,92394,17349,1e+05,18000
"48",2114,1,69809,11170,70000,12000
"49",2125,1,44266,32937,50000,33000
"50",2128,1,42613,38185,50000,39000
"51",2134,1,33863,19641,40000,20000
"52",2138,1,68127,34994,70000,35000
"53",2141,1,57909,12010,60000,13000
"54",2170,1,64309,19203,70000,20000
"55",2191,1,68143,8916,70000,9000
"56",2203,1,106602,1,110000,1000
