40.8648,-73.8867,10458
30.5252,-84.3321,32303
40.0063,-76.5904,17406
41.758,-72.7444,06107
41.1723,-73.2014,06605
25.8857,-80.3156,33014
40.3996,-104.8002,80634
41.6654,-83.5811,43606
40.6805,-80.5948,43920
32.5337,-95.8655,75103
37.354,-76.7467,23188
39.0554,-121.6743,95993
32.7736,-115.6022,92243
40.8006,-73.9653,10025
40.5714,-74.9725,08867
32.5418,-83.5902,31005
32.5418,-83.5902,31005
40.5678,-75.4828,18103
41.1879,-73.8315,10562
31.6626,-96.4935,76667
41.0399,-81.4802,44306
39.1111,-94.6904,66102
43.2166,-78.0584,14470
40.1083,-83.144,43017
33.6813,-116.9593,92543
33.9129,-118.3439,90250
41.4789,-81.6473,44127
34.9008,-76.8262,28532
37.7159,-82.2369,25661
47.5907,-122.6655,98312
34.9008,-76.8262,28532
38.2166,-91.1309,63080
31.2889,-89.3427,39402
41.5998,-70.5631,02536
32.7208,-117.0931,92102
41.0484,-76.0019,18222
45.6676,-122.6063,98661
41.6972,-81.1974,44077
35.2772,-87.4126,38464
41.389,-81.5368,44146
41.9843,-87.6635,60660
26.26,-80.1917,33063
40.6361,-75.3649,18017
43.374,-124.1477,97420
41.6972,-81.1974,44077
39.3264,-76.7141,21207
34.8914,-85.1207,30736
43.0161,-86.1267,49417
32.9642,-94.9275,75686
39.8062,-86.1407,46205
34.9364,-85.3101,30741
37.6624,-121.8963,94566
35.9726,-81.5513,28645
39.7744,-86.1097,46201
35.1427,-77.163,28562
31.9582,-110.693,85641
42.3056,-77.6315,14843
43.0464,-87.9669,53208
36.0079,-80.3697,27012
44.9198,-92.9438,55125
41.3617,-71.8024,02891
30.7458,-91.081,70730
35.7057,-83.9838,37803
41.3433,-72.6413,06443
33.4442,-112.3179,85323
30.7914,-86.4485,32539
35.9594,-86.542,37167
33.4425,-79.1588,29585
40.1291,-89.3641,62656
41.5507,-72.0936,06360
33.8004,-84.3865,30309
35.1862,-80.7479,28212
40.175,-76.3078,17543
40.9223,-81.03,44672
42.4651,-82.9441,48021
26.1275,-80.2331,33317
