"subregion","region","pop","income","ufo2010","ufo2pop"
"dare","north carolina",34573,54750,0,0
"davidson","north carolina",163260,44728,7,4.28763934827882e-05
"davie","north carolina",41433,50562,3,7.2406053146043e-05
"duplin","north carolina",60033,34264,6,9.99450302333716e-05
"durham","north carolina",279641,50078,19,6.79442571010689e-05
"edgecombe","north carolina",55954,34198,0,0
"forsyth","north carolina",358137,46417,7,1.9545592887638e-05
"franklin","north carolina",61475,44598,5,8.13338755591704e-05
"gaston","north carolina",208049,43052,18,8.6518079875414e-05
"gates","north carolina",11869,45183,3,0.000252759288903867
"graham","north carolina",8700,32255,0,0
"granville","north carolina",60436,49090,2,3.30928585611225e-05
"greene","north carolina",21429,41073,0,0
"guilford","north carolina",500879,46288,42,8.38525871517872e-05
"halifax","north carolina",54006,31370,2,3.70329222678962e-05
"harnett","north carolina",122135,42965,8,6.55012895566381e-05
"haywood","north carolina",58908,41768,0,0
"henderson","north carolina",108266,47371,13,0.000120074631001422
"hertford","north carolina",24438,31969,0,0
"hoke","north carolina",50536,46540,5,9.89393699540921e-05
"hyde","north carolina",5859,40753,0,0
"iredell","north carolina",162708,51139,17,0.000104481648105809
"jackson","north carolina",40448,36826,4,9.88924050632911e-05
"johnston","north carolina",174938,49888,7,4.00141764510855e-05
"jones","north carolina",10275,40687,1,9.7323600973236e-05
"lee","north carolina",59715,44836,0,0
"lenoir","north carolina",59227,33749,3,5.06525739949685e-05
"lincoln","north carolina",79313,50279,1,1.26082735491029e-05
"macon","north carolina",33869,38653,1,2.95255248162036e-05
"madison","north carolina",20742,38063,6,0.000289268151576511
"martin","north carolina",23961,36345,0,0
"mcdowell","north carolina",44998,35230,4,8.88928396817636e-05
"mecklenburg","north carolina",969031,55994,94,9.70041206112085e-05
"mitchell","north carolina",15368,36165,5,0.000325351379489849
"montgomery","north carolina",27668,32946,1,3.61428364898077e-05
"moore","north carolina",90302,48348,7,7.75176629532015e-05
"nash","north carolina",95708,45052,7,7.31391315250554e-05
"new hanover","north carolina",209234,48893,0,0
"northampton","north carolina",21428,32090,1,4.66679111442972e-05
"onslow","north carolina",183263,45457,17,9.27628599335381e-05
"orange","north carolina",137941,56055,8,5.79958098027418e-05
"pamlico","north carolina",13074,43658,3,0.000229463056447912
"pasquotank","north carolina",40591,45298,0,0
"pender","north carolina",54195,44568,2,3.69037734108313e-05
"perquimans","north carolina",13563,37862,1,7.37300007373e-05
"person","north carolina",39268,43271,1,2.54660283182235e-05
"pitt","north carolina",172554,39824,9,5.21575854515108e-05
"polk","north carolina",20271,43332,2,9.86631147945341e-05
"randolph","north carolina",142466,40602,6,4.21153117234989e-05
"richmond","north carolina",46627,31847,2,4.28936024191992e-05
"robeson","north carolina",135496,30874,5,3.69014583456338e-05
"rockingham","north carolina",92720,38311,0,0
"rowan","north carolina",138180,43121,11,7.96063106093501e-05
"rutherford","north carolina",67323,37128,1,1.48537646866598e-05
"sampson","north carolina",63949,36832,1,1.56374611018155e-05
"scotland","north carolina",36094,30465,3,8.31163074195157e-05
"stanly","north carolina",60576,43424,2,3.30163761225568e-05
"stokes","north carolina",46783,43099,3,6.41258576833465e-05
"surry","north carolina",73561,36788,2,2.71883198977719e-05
"swain","north carolina",14141,40719,0,0
"transylvania","north carolina",32849,41103,4,0.000121769308045907
"tyrrell","north carolina",4338,34071,0,0
"union","north carolina",208520,64813,3,1.43871091502014e-05
"vance","north carolina",45132,34084,1,2.21572276876717e-05
"wake","north carolina",952151,65289,67,7.0366990109762e-05
"warren","north carolina",20576,34495,1,4.86003110419907e-05
"washington","north carolina",12736,34219,2,0.000157035175879397
"watauga","north carolina",51871,34497,1,1.92785949759982e-05
"wayne","north carolina",124246,41751,2,1.60970976932859e-05
"wilkes","north carolina",69306,33464,5,7.21438259313768e-05
"wilson","north carolina",81867,38760,7,8.55045378479729e-05
"yadkin","north carolina",38084,40375,0,0
"yancey","north carolina",17630,38950,6,0.000340328984685196
"adams","north dakota",2311,40236,0,0
"barnes","north dakota",11015,43730,0,0
"benson","north dakota",6760,32149,1,0.00014792899408284
"billings","north dakota",905,53846,0,0
"bottineau","north dakota",6579,44399,0,0
"bowman","north dakota",3202,50487,0,0
"burke","north dakota",2171,54402,0,0
"burleigh","north dakota",85774,56231,6,6.99512672837923e-05
"cass","north dakota",156157,49429,9,5.76343039377037e-05
"cavalier","north dakota",3948,49293,0,0
"dickey","north dakota",5268,41776,0,0
"divide","north dakota",2228,47545,0,0
"dunn","north dakota",3967,52861,0,0
"eddy","north dakota",2368,40096,0,0
"emmons","north dakota",3491,36903,2,0.000572901747350329
"foster","north dakota",3392,47500,0,0
"golden valley","north dakota",1804,35402,0,0
"grand forks","north dakota",67472,46050,5,7.41048138487076e-05
"grant","north dakota",2333,41821,0,0
"griggs","north dakota",2362,43000,0,0
"hettinger","north dakota",2553,41179,0,0
"kidder","north dakota",2426,37105,1,0.000412201154163232
