"subregion","region","pop","income","ufo2010","ufo2pop"
"umatilla","oregon",76820,45911,12,0.000156209320489456
"union","oregon",25759,40974,0,0
"wallowa","oregon",6821,39556,1,0.000146606069491277
"wasco","oregon",25487,43742,4,0.000156942755130066
"washington","oregon",547672,63814,78,0.000142421011116143
"wheeler","oregon",1424,34338,0,0
"yamhill","oregon",100255,53819,21,0.000209465862051768
"adams","pennsylvania",101482,57097,4,3.94158569992708e-05
"allegheny","pennsylvania",1229338,49805,70,5.69412155159932e-05
"armstrong","pennsylvania",68409,44663,6,8.77077577511731e-05
"beaver","pennsylvania",170245,47928,13,7.63605392228847e-05
"bedford","pennsylvania",49324,40710,4,8.10964236477171e-05
"berks","pennsylvania",413491,54823,22,5.32055111235795e-05
"blair","pennsylvania",127121,43243,10,7.86652087381314e-05
"bradford","pennsylvania",62792,42433,8,0.000127404764938209
"bucks","pennsylvania",627053,76019,43,6.85747456754054e-05
"butler","pennsylvania",184970,57474,16,8.65005135967995e-05
"cambria","pennsylvania",141584,41202,11,7.76923946208611e-05
"cameron","pennsylvania",4939,40449,0,0
"carbon","pennsylvania",65006,49056,7,0.000107682367781436
"centre","pennsylvania",155171,48262,22,0.000141779069542634
"chester","pennsylvania",506575,86264,49,9.67280264521542e-05
"clarion","pennsylvania",39646,41557,5,0.000126116127730414
"clearfield","pennsylvania",81184,39391,7,8.62238864800946e-05
"clinton","pennsylvania",39517,39696,2,5.06111293873523e-05
"columbia","pennsylvania",66887,44136,0,0
"crawford","pennsylvania",87598,40379,5,5.70789287426654e-05
"cumberland","pennsylvania",238614,60832,9,3.77178204128844e-05
"dauphin","pennsylvania",269665,53771,24,8.89993139636215e-05
"delaware","pennsylvania",561098,63677,22,3.92088369589626e-05
"elk","pennsylvania",31550,42854,2,6.3391442155309e-05
"erie","pennsylvania",280646,44503,22,7.83905703270312e-05
"fayette","pennsylvania",135660,36605,5,3.68568480023588e-05
"forest","pennsylvania",7667,36006,0,0
"franklin","pennsylvania",151275,51171,1,6.61047760700711e-06
"fulton","pennsylvania",14772,45960,0,0
"greene","pennsylvania",38085,42565,4,0.000105028226335828
"huntingdon","pennsylvania",45943,43026,3,6.52983044206952e-05
"indiana","pennsylvania",88218,41424,10,0.000113355551021334
"jefferson","pennsylvania",44764,40058,2,4.46787597176302e-05
"juniata","pennsylvania",24904,45496,0,0
"lackawanna","pennsylvania",214477,45185,12,5.59500552506796e-05
"lancaster","pennsylvania",526823,55816,36,6.83341463831306e-05
"lawrence","pennsylvania",89871,43821,0,0
"lebanon","pennsylvania",135251,53474,7,5.17556247273588e-05
"lehigh","pennsylvania",355245,54312,24,6.75590085715492e-05
"luzerne","pennsylvania",321027,43296,10,3.1150027879275e-05
"lycoming","pennsylvania",117168,43788,0,0
"mckean","pennsylvania",43127,40721,5,0.000115936652213231
"mercer","pennsylvania",115655,43504,17,0.000146988889369245
"mifflin","pennsylvania",46773,38892,0,0
"monroe","pennsylvania",168798,57700,12,7.10908897024846e-05
"montgomery","pennsylvania",808460,78446,50,6.18459787744601e-05
"montour","pennsylvania",18356,46421,2,0.000108956199607758
"northampton","pennsylvania",299267,60540,19,6.34884567961051e-05
"northumberland","pennsylvania",94428,39605,1,1.05900792137925e-05
"perry","pennsylvania",45701,54626,0,0
"philadelphia","pennsylvania",1547607,36957,1,6.46158876252175e-07
"pike","pennsylvania",56899,58672,8,0.000140600010545001
"potter","pennsylvania",17577,40000,0,0
"schuylkill","pennsylvania",147063,44150,8,5.43984550838756e-05
"snyder","pennsylvania",39672,46184,0,0
"somerset","pennsylvania",76957,41102,7,9.09598866899697e-05
"sullivan","pennsylvania",6461,38732,0,0
"susquehanna","pennsylvania",42696,46392,6,0.00014052838673412
"tioga","pennsylvania",42577,42027,1,2.34868591023322e-05
"union","pennsylvania",44952,46269,5,0.000111229756184374
"venango","pennsylvania",54272,40986,6,0.000110554245283019
"warren","pennsylvania",41146,42167,3,7.29110970689739e-05
"washington","pennsylvania",208716,51965,18,8.62415914448341e-05
"wayne","pennsylvania",51955,49020,4,7.69897026272736e-05
"westmoreland","pennsylvania",363395,48979,29,7.98029692208203e-05
"wyoming","pennsylvania",28125,48063,2,7.11111111111111e-05
"york","pennsylvania",437846,58586,29,6.62333331810728e-05
"bristol","rhode island",49144,70553,2,4.06967279830702e-05
"kent","rhode island",164843,61279,11,6.67301614263269e-05
"newport","rhode island",82036,69369,7,8.53283924130869e-05
"providence","rhode island",628323,49411,46,7.32107530680876e-05
"washington","rhode island",125946,72163,8,6.35192860432249e-05
"abbeville","south carolina",25101,34670,2,7.96781004740847e-05
"aiken","south carolina",162812,43999,9,5.52784807016682e-05
"allendale","south carolina",9988,22982,0,0
"anderson","south carolina",189355,42854,6,3.16865147474321e-05
"bamberg","south carolina",15763,26697,0,0
"barnwell","south carolina",22212,34546,3,0.000135062128579146
"beaufort","south carolina",168049,57133,12,7.14077441698552e-05
"berkeley","south carolina",189781,51093,10,5.26923137721901e-05
"calhoun","south carolina",14910,37318,0,0
"charleston","south carolina",365162,50133,24,6.57242538927928e-05
"cherokee","south carolina",55662,35025,6,0.000107793467715856
"chester","south carolina",32546,32112,1,3.07257420266699e-05
"chesterfield","south carolina",46103,32304,1,2.1690562436284e-05
"clarendon","south carolina",34357,33355,1,2.91061501295224e-05
"colleton","south carolina",38153,31700,2,5.24205173905066e-05
"darlington","south carolina",68139,38567,7,0.000102731181848868
"dillon","south carolina",31446,26067,2,6.36010939388158e-05
"dorchester","south carolina",142496,54875,13,9.12306310352571e-05
"edgefield","south carolina",26347,44090,0,0
"fairfield","south carolina",23363,34117,0,0
"florence","south carolina",137948,41325,12,8.69893003160611e-05
"georgetown","south carolina",60189,42677,4,6.64573260894848e-05
"greenville","south carolina",467605,48518,29,6.20181563499107e-05
"greenwood","south carolina",69756,39366,2,2.86713687711451e-05
"hampton","south carolina",20726,35914,1,4.82485766669883e-05
"horry","south carolina",282285,42877,84,0.000297571603167012
"jasper","south carolina",25833,36696,0,0
"kershaw","south carolina",62343,43509,3,4.812087964968e-05
"lancaster","south carolina",79089,40034,3,3.79319500815537e-05
"laurens","south carolina",66223,38713,5,7.5502468930734e-05
"lee","south carolina",18654,27011,0,0
"lexington","south carolina",270406,52857,11,4.06795707195846e-05
"marion","south carolina",32457,31762,0,0
"marlboro","south carolina",28145,28511,1,3.553028957186e-05
"mccormick","south carolina",9943,36243,0,0
"newberry","south carolina",37576,42866,0,0
"oconee","south carolina",74627,42641,3,4.01999276401303e-05
"orangeburg","south carolina",91476,33162,4,4.37273164545892e-05
"pickens","south carolina",119670,42241,13,0.000108632071530041
"richland","south carolina",393830,48485,20,5.07833329101389e-05
"saluda","south carolina",19893,39095,0,0
"spartanburg","south carolina",288745,43563,9,3.11693708981974e-05
"sumter","south carolina",108052,40542,6,5.55288194572983e-05
"union","south carolina",28252,33679,0,0
"williamsburg","south carolina",33620,24530,6,0.000178465199286139
"york","south carolina",234635,53536,21,8.95007138747416e-05
"aurora","south dakota",2742,46205,0,0
"beadle","south dakota",17753,40455,0,0
"bennett","south dakota",3436,34500,0,0
"bon homme","south dakota",7029,43456,0,0
"brookings","south dakota",32629,46101,1,3.06475834380459e-05
"brown","south dakota",37331,47327,1,2.67873884974954e-05
"brule","south dakota",5293,48170,0,0
"buffalo","south dakota",2020,28493,0,0
"butte","south dakota",10228,41145,0,0
"campbell","south dakota",1396,40385,0,0
"charles mix","south dakota",9216,36757,1,0.000108506944444444
"clark","south dakota",3585,45844,0,0
"clay","south dakota",14131,39118,0,0
"codington","south dakota",27606,44672,0,0
"corson","south dakota",4077,28506,0,0
"custer","south dakota",8339,48125,0,0
"davison","south dakota",19769,44597,0,0
"day","south dakota",5613,40335,0,0
"deuel","south dakota",4380,46186,0,0
"dewey","south dakota",5538,30645,0,0
"douglas","south dakota",2970,45957,0,0
"edmunds","south dakota",4026,48039,0,0
"fall river","south dakota",6971,34948,0,0
"faulk","south dakota",2377,40125,0,0
"grant","south dakota",7259,44444,0,0
"gregory","south dakota",4265,35975,1,0.000234466588511137
"haakon","south dakota",1939,49432,0,0
"hamlin","south dakota",5918,47771,0,0
"hand","south dakota",3388,44375,0,0
"hanson","south dakota",3377,47700,0,0
"harding","south dakota",1316,46797,0,0
"hughes","south dakota",17450,58082,0,0
"hutchinson","south dakota",7187,42386,0,0
"hyde","south dakota",1437,43906,1,0.00069589422407794
"jackson","south dakota",3191,38581,0,0
"jerauld","south dakota",2047,43705,0,0
"jones","south dakota",1013,50795,0,0
"kingsbury","south dakota",5220,47152,0,0
"lake","south dakota",11771,46412,0,0
"lawrence","south dakota",24397,45137,4,0.000163954584580071
"lincoln","south dakota",48296,70043,1,2.0705648500911e-05
"lyman","south dakota",3789,41389,0,0
"marshall","south dakota",4671,41731,0,0
"mccook","south dakota",5610,46964,0,0
"mcpherson","south dakota",2439,35065,0,0
"meade","south dakota",26052,47504,0,0
"mellette","south dakota",2101,34013,0,0
"miner","south dakota",2326,42361,0,0
"minnehaha","south dakota",175037,52758,16,9.14092449025063e-05
"moody","south dakota",6446,49016,2,0.000310269934843314
"pennington","south dakota",104347,48378,16,0.000153334547231832
"perkins","south dakota",3037,36042,0,0
"potter","south dakota",2359,45682,0,0
"roberts","south dakota",10303,41483,0,0
"sanborn","south dakota",2324,46736,0,0
"shannon","south dakota",14059,25228,2,0.000142257628565332
"spink","south dakota",6611,47983,0,0
"stanley","south dakota",2969,55679,0,0
"sully","south dakota",1427,51429,0,0
"todd","south dakota",9942,27431,2,0.00020116676725005
"tripp","south dakota",5485,40609,0,0
"turner","south dakota",8308,50143,0,0
"union","south dakota",14855,63773,0,0
"walworth","south dakota",5459,40879,0,0
"yankton","south dakota",22603,51680,0,0
"ziebach","south dakota",2869,27917,0,0
"anderson","tennessee",75416,44872,9,0.000119338071496765
"bedford","tennessee",45573,39480,3,6.58284510565466e-05
"benton","tennessee",16361,34152,0,0
"bledsoe","tennessee",12792,35137,0,0
"blount","tennessee",124177,47298,10,8.05302109086224e-05
"bradley","tennessee",101134,40541,3,2.9663614610319e-05
"campbell","tennessee",40420,31337,0,0
"cannon","tennessee",13811,36742,2,0.000144812106292086
"carroll","tennessee",28390,36455,1,3.52236703064459e-05
"carter","tennessee",57355,32148,12,0.000209223258652254
"cheatham","tennessee",39271,53337,5,0.00012732041455527
"chester","tennessee",17171,39776,0,0
"claiborne","tennessee",31736,33178,4,0.000126039828585833
"clay","tennessee",7840,28682,3,0.00038265306122449
"cocke","tennessee",35571,28563,2,5.62255770149841e-05
"coffee","tennessee",53222,39268,5,9.39461125098643e-05
"crockett","tennessee",14623,36743,1,6.83854202284073e-05
"cumberland","tennessee",57029,36955,3,5.26048150940749e-05
"davidson","tennessee",648295,46737,77,0.000118773089411456
"de kalb","tennessee",18901,36870,1,5.29072535844664e-05
"decatur","tennessee",11673,30311,0,0
"dickson","tennessee",50381,44201,3,5.9546257517715e-05
"dyer","tennessee",38255,38909,4,0.000104561495229382
"fayette","tennessee",38659,57437,1,2.58671978064616e-05
"fentress","tennessee",17940,29245,0,0
"franklin","tennessee",40772,41726,4,9.81065437064652e-05
"gibson","tennessee",49626,37577,4,8.06029097650425e-05
"giles","tennessee",29072,37981,2,6.87947165657677e-05
"grainger","tennessee",22706,31711,2,8.80824451686779e-05
"greene","tennessee",68819,36310,12,0.00017437045002107
"grundy","tennessee",13650,25890,1,7.32600732600733e-05
"hamblen","tennessee",62746,39604,8,0.000127498167213846
"hamilton","tennessee",345545,45826,24,6.94554978367506e-05
"hancock","tennessee",6720,22052,0,0
"hardeman","tennessee",26533,32601,1,3.76889156898956e-05
"hardin","tennessee",25950,32131,5,0.000192678227360308
"hawkins","tennessee",56587,36795,4,7.06876137628784e-05
"haywood","tennessee",18240,33504,1,5.48245614035088e-05
"henderson","tennessee",28023,37627,2,7.13699461156907e-05
"henry","tennessee",32341,36463,3,9.27615101573854e-05
"hickman","tennessee",24170,43935,1,4.13736036408771e-05
"houston","tennessee",8413,34942,2,0.000237727326756211
"humphreys","tennessee",18275,41810,3,0.000164158686730506
"jackson","tennessee",11441,32846,0,0
"jefferson","tennessee",52191,38015,6,0.000114962349830431
"johnson","tennessee",18095,32159,1,5.52638850511191e-05
"knox","tennessee",441311,47277,37,8.38411007203537e-05
"lake","tennessee",7690,26797,0,0
"lauderdale","tennessee",27718,34078,0,0
"lawrence","tennessee",42086,35737,1,2.37608705982987e-05
"lewis","tennessee",11896,32337,0,0
"lincoln","tennessee",33503,41454,0,0
"loudon","tennessee",49793,50458,4,8.03325768682345e-05
"macon","tennessee",22498,34747,0,0
"madison","tennessee",98656,40667,13,0.000131771002270516
"marion","tennessee",28291,39857,0,0
"marshall","tennessee",30883,41620,4,0.00012952109574847
"maury","tennessee",81990,46552,12,0.000146359312111233
"mcminn","tennessee",52416,38604,2,3.81562881562882e-05
"mcnairy","tennessee",26180,34953,0,0
"meigs","tennessee",11698,34942,0,0
"monroe","tennessee",45133,35096,4,8.86269470232424e-05
"montgomery","tennessee",184468,49695,15,8.13149164082659e-05
"moore","tennessee",6339,45950,0,0
"morgan","tennessee",21931,37130,0,0
"obion","tennessee",31340,39671,0,0
"overton","tennessee",22190,34108,2,9.01306894997747e-05
"perry","tennessee",7860,31857,1,0.000127226463104326
"pickett","tennessee",5100,31157,0,0
"polk","tennessee",16686,36204,3,0.000179791441927364
"putnam","tennessee",73229,34305,6,8.1934752625326e-05
"rhea","tennessee",32247,36934,1,3.10106366483704e-05
"roane","tennessee",53469,43129,2,3.74048514092278e-05
"robertson","tennessee",66931,50759,3,4.48222796611436e-05
"rutherford","tennessee",274454,54433,4,1.45743913369818e-05
"scott","tennessee",22173,29454,0,0
"sequatchie","tennessee",14423,33536,0,0
"sevier","tennessee",92512,42569,6,6.48564510549983e-05
"shelby","tennessee",940764,46102,53,5.63371897734182e-05
"smith","tennessee",19102,43580,2,0.000104701078421108
"stewart","tennessee",13297,42771,2,0.000150409866887268
"sullivan","tennessee",156786,40572,31,0.000197721735359024
"sumner","tennessee",166123,55211,17,0.000102333812897672
"tipton","tennessee",61705,50869,4,6.48245685114659e-05
"trousdale","tennessee",7795,44163,1,0.000128287363694676
"unicoi","tennessee",18235,35265,0,0
"union","tennessee",19127,31535,1,5.22821142887018e-05
"van buren","tennessee",5628,31155,0,0
"warren","tennessee",39839,35575,1,2.51010316524009e-05
"washington","tennessee",125094,42104,4,3.19759540825299e-05
"wayne","tennessee",16996,33630,1,5.8837373499647e-05
"weakley","tennessee",34793,33932,2,5.74828270054321e-05
"white","tennessee",26082,34642,2,7.6681236101526e-05
"williamson","tennessee",192911,89063,18,9.33072764124389e-05
"wilson","tennessee",118961,61400,6,5.04366977412765e-05
"anderson","texas",58190,40577,0,0
"andrews","texas",16117,51598,2,0.000124092573059502
"angelina","texas",87597,39325,4,4.56636642807402e-05
"aransas","texas",23818,44129,0,0
"archer","texas",8735,53113,1,0.000114481969089868
"armstrong","texas",1944,56538,1,0.00051440329218107
"atascosa","texas",46446,43261,2,4.30607587305688e-05
"austin","texas",28618,52510,0,0
"bailey","texas",7130,41106,0,0
"bandera","texas",20537,45595,2,9.73852071870283e-05
"bastrop","texas",74763,52882,6,8.0253601380362e-05
"baylor","texas",3623,37159,0,0
"bee","texas",32527,39247,2,6.14873797153134e-05
"bell","texas",323037,49466,23,7.11992743865254e-05
"bexar","texas",1785704,48083,116,6.49603741717552e-05
"blanco","texas",10655,46457,1,9.38526513374003e-05
"borden","texas",616,59643,1,0.00162337662337662
"bosque","texas",18125,44744,1,5.51724137931034e-05
"bowie","texas",93148,43210,9,9.66204320006871e-05
"brazoria","texas",324769,67018,19,5.85031206796215e-05
"brazos","texas",200665,37161,3,1.4950290284803e-05
"brewster","texas",9316,39615,3,0.000322026620867325
"briscoe","texas",1561,34130,0,0
"brooks","texas",7161,19936,0,0
"brown","texas",37825,39965,4,0.000105750165234633
"burleson","texas",17291,42679,2,0.000115667110057255
"burnet","texas",43448,48291,8,0.000184128153194623
"caldwell","texas",38734,43136,2,5.16342231631125e-05
"calhoun","texas",21609,44433,0,0
"callahan","texas",13517,45933,0,0
"cameron","texas",415557,32156,6,1.44384524866625e-05
"camp","texas",12449,36998,0,0
"carson","texas",6157,60028,1,0.000162416761409777
"cass","texas",30166,35592,3,9.94497115958364e-05
"castro","texas",8164,36893,0,0
"chambers","texas",36196,72850,5,0.000138136810697315
"cherokee","texas",51206,37758,1,1.95289614498301e-05
"childress","texas",7029,47605,0,0
"clay","texas",10535,52868,0,0
"cochran","texas",3046,40513,0,0
"coke","texas",3231,40000,1,0.000309501702259362
"coleman","texas",8675,27910,3,0.000345821325648415
"collin","texas",834642,82758,50,5.99059237373628e-05
"collingsworth","texas",3036,38750,1,0.000329380764163373
"colorado","texas",20696,43252,3,0.000144955546965597
"comal","texas",114384,65521,7,6.1197370261575e-05
"comanche","texas",13765,36326,10,0.000726480203414457
"concho","texas",4010,46528,1,0.000249376558603491
"cooke","texas",38688,50176,3,7.75434243176179e-05
"coryell","texas",77231,48920,6,7.76890108894097e-05
"cottle","texas",1486,39038,0,0
"crane","texas",4562,48648,0,0
"crockett","texas",3743,51522,2,0.000534330750734705
"crosby","texas",6126,35655,0,0
"culberson","texas",2290,37500,0,0
"dallam","texas",6996,47500,0,0
"dallas","texas",2453843,48942,163,6.64264176640478e-05
"dawson","texas",13640,39454,0,0
"de witt","texas",20465,43380,0,0
"deaf smith","texas",19360,41134,1,5.16528925619835e-05
"delta","texas",5329,34710,0,0
"denton","texas",707304,72305,55,7.77600579100359e-05
"dickens","texas",2323,35333,2,0.00086095566078347
"dimmit","texas",10461,26730,0,0
"donley","texas",3598,44300,0,0
"duval","texas",11717,35144,2,0.0001706921566954
"eastland","texas",18421,34531,9,0.000488572824493784
"ector","texas",144325,50056,9,6.23592586177031e-05
"edwards","texas",1968,43095,0,0
"el paso","texas",827398,38259,57,6.88906668858276e-05
"ellis","texas",153969,62639,15,9.74222083666193e-05
"erath","texas",39321,40096,12,0.000305180437933928
"falls","texas",17610,31543,0,0
"fannin","texas",33831,44136,4,0.000118234755106263
"fayette","texas",24695,47285,2,8.09880542619963e-05
"fisher","texas",3844,43724,0,0
"floyd","texas",6367,35967,0,0
"foard","texas",1307,31006,0,0
"fort bend","texas",627293,82571,5,7.97075688713249e-06
"franklin","texas",10640,47500,0,0
"freestone","texas",19515,45816,5,0.000256213169356905
"frio","texas",17702,37769,0,0
"gaines","texas",18413,47157,0,0
"galveston","texas",300484,59645,16,5.32474274836597e-05
"garza","texas",6412,42883,2,0.000311915159076731
"gillespie","texas",25153,54843,0,0
"glasscock","texas",1259,72188,0,0
"goliad","texas",7351,51389,0,0
"gonzales","texas",20045,38623,1,4.98877525567473e-05
"gray","texas",22978,42845,2,8.70397771781704e-05
"grayson","texas",121935,46993,13,0.000106614179685898
"gregg","texas",122658,44608,6,4.89164995352933e-05
"grimes","texas",26783,40509,0,0
"guadalupe","texas",139841,61608,5,3.57548930571149e-05
"hale","texas",36385,39335,1,2.74838532362237e-05
"hall","texas",3293,32059,3,0.000911023382933495
"hamilton","texas",8307,40757,2,0.000240760804141086
"hansford","texas",5521,52610,0,0
"hardeman","texas",4082,36568,1,0.000244977951984321
"hardin","texas",55190,54588,9,0.000163073020474724
"harris","texas",4253700,52675,227,5.33653054987423e-05
"harrison","texas",67450,45357,5,7.41289844329133e-05
"hartley","texas",6144,69414,0,0
"haskell","texas",5901,39578,0,0
"hays","texas",168990,58247,18,0.000106515178412924
"hemphill","texas",4080,54360,2,0.000490196078431373
"henderson","texas",79094,41242,5,6.32159202973677e-05
"hidalgo","texas",806552,32479,9,1.11586109761057e-05
"hill","texas",35115,39944,2,5.69557169300869e-05
"hockley","texas",23072,48201,1,4.33425797503467e-05
"hood","texas",52044,54002,4,7.68580431942203e-05
"hopkins","texas",35469,42844,0,0
"houston","texas",23161,32437,1,4.3176028668883e-05
"howard","texas",35408,41887,3,8.47266154541347e-05
"hudspeth","texas",3337,22634,1,0.000299670362601139
"hunt","texas",87079,45253,4,4.59353001297672e-05
"hutchinson","texas",21922,44120,3,0.00013684882766171
"irion","texas",1573,45250,0,0
"jack","texas",8983,46136,1,0.000111321384838027
"jackson","texas",14255,50010,0,0
"jasper","texas",35923,40099,1,2.78373187094619e-05
"jeff davis","texas",2307,49149,5,0.00216731686172518
"jefferson","texas",251813,42883,8,3.17696068114037e-05
"jim hogg","texas",5249,36752,0,0
"jim wells","texas",41754,37413,1,2.39498012166499e-05
"johnson","texas",153441,55970,14,9.12402812807529e-05
"jones","texas",19973,37872,0,0
"karnes","texas",15233,39297,0,0
"kaufman","texas",106753,60575,8,7.49393459668581e-05
"kendall","texas",35956,72092,2,5.56235398820781e-05
"kenedy","texas",431,45625,0,0
"kent","texas",839,43750,1,0.00119189511323004
"kerr","texas",49786,44529,3,6.02579038283855e-05
"kimble","texas",4560,43653,5,0.00109649122807018
"king","texas",276,61250,0,0
"kinney","texas",3603,25703,1,0.000277546489036914
"kleberg","texas",32025,37222,4,0.000124902419984387
"knox","texas",3789,32646,0,0
"la salle","texas",7109,25313,2,0.000281333520889014
"lamar","texas",49811,40050,9,0.000180682981670715
"lamb","texas",14008,35589,1,7.13877784123358e-05
"lampasas","texas",20107,48760,1,4.97339235092256e-05
"lavaca","texas",19468,43570,0,0
"lee","texas",16601,45754,0,0
"leon","texas",16803,42150,3,0.000178539546509552
"liberty","texas",76571,47460,3,3.91793237648718e-05
"limestone","texas",23585,42851,0,0
"lipscomb","texas",3480,55457,0,0
"live oak","texas",11664,45276,2,0.000171467764060357
"llano","texas",19085,41837,0,0
"loving","texas",71,78125,0,0
"lubbock","texas",285760,43983,16,5.59910414333707e-05
"lynn","texas",5783,46456,0,0
"madison","texas",13677,37437,0,0
"marion","texas",10324,31903,3,0.000290585044556374
"martin","texas",5017,42050,0,0
"mason","texas",4003,41462,1,0.00024981264051961
"matagorda","texas",36547,43962,3,8.20860809368758e-05
"maverick","texas",55365,29504,3,5.41858574911948e-05
"mcculloch","texas",8313,37861,2,0.000240587032358956
"mclennan","texas",238707,41656,20,8.37847235313585e-05
"mcmullen","texas",726,29500,0,0
"medina","texas",46765,50101,3,6.41505399337111e-05
"menard","texas",2240,41923,0,0
"midland","texas",146645,57807,9,6.13727027856388e-05
"milam","texas",24157,39751,0,0
"mills","texas",4828,38138,0,0
"mitchell","texas",9336,41281,0,0
"montague","texas",19565,43509,1,5.11116790186558e-05
"montgomery","texas",485047,66657,26,5.36030529000282e-05
"moore","texas",22313,48394,0,0
"morris","texas",12787,39698,0,0
"motley","texas",1202,33281,0,0
"nacogdoches","texas",66034,35378,9,0.000136293424599449
"navarro","texas",47979,41074,4,8.33698076241689e-05
"newton","texas",14200,38409,2,0.000140845070422535
"nolan","texas",14924,37177,0,0
"nueces","texas",347691,44815,1,2.87611701194451e-06
"ochiltree","texas",10728,49794,0,0
"oldham","texas",2060,57054,0,0
"orange","texas",82977,48833,4,4.82061294093544e-05
"palo pinto","texas",27856,40385,3,0.000107696726019529
"panola","texas",24020,48088,3,0.000124895920066611
"parker","texas",119712,63725,14,0.000116947340283347
"parmer","texas",10183,40926,0,0
"pecos","texas",15619,40925,1,6.40245854408093e-05
"polk","texas",45656,36073,1,2.19029262309445e-05
"potter","texas",122335,37766,20,0.000163485511096579
"presidio","texas",7525,28724,3,0.000398671096345515
"rains","texas",10943,45168,3,0.000274147857077584
"randall","texas",125082,57121,4,3.19790217617243e-05
"reagan","texas",3475,58491,0,0
"real","texas",3369,25870,3,0.000890471950133571
"red river","texas",12694,36969,5,0.000393886875689302
"reeves","texas",13798,35552,2,0.00014494854326714
"refugio","texas",7259,42470,0,0
"roberts","texas",854,61042,1,0.00117096018735363
"robertson","texas",16545,38397,2,0.000120882441825325
"rockwall","texas",83021,82146,5,6.02257260211272e-05
"runnels","texas",10449,38556,4,0.000382811752320796
"rusk","texas",54026,46438,2,3.70192129715322e-05
"sabine","texas",10433,33109,0,0
"san augustine","texas",8818,26841,1,0.000113404400090724
"san jacinto","texas",27126,48750,3,0.00011059500110595
"san patricio","texas",65600,48389,3,4.57317073170732e-05
"san saba","texas",6002,38675,1,0.000166611129623459
"schleicher","texas",3264,46058,2,0.000612745098039216
"scurry","texas",17126,46380,0,0
"shackelford","texas",3356,44647,2,0.000595947556615018
"shelby","texas",26019,34164,0,0
"sherman","texas",3073,49135,0,0
"smith","texas",214821,46615,9,4.1895345427123e-05
"somervell","texas",8598,48401,5,0.000581530588508956
"starr","texas",61615,25598,2,3.24596283372555e-05
"stephens","texas",9464,37400,0,0
"sterling","texas",1191,41944,0,0
"stonewall","texas",1475,47083,1,0.000677966101694915
"sutton","texas",3950,55122,1,0.000253164556962025
"swisher","texas",7891,38988,0,0
"tarrant","texas",1880153,56178,141,7.49938967732945e-05
"taylor","texas",133473,43065,34,0.00025473316700756
"terrell","texas",917,41417,0,0
"terry","texas",12613,35485,0,0
"throckmorton","texas",1601,40380,0,0
"titus","texas",32663,39886,1,3.06156813519885e-05
"tom green","texas",113281,43465,11,9.71036625736002e-05
"travis","texas",1095584,55452,121,0.000110443379969039
"trinity","texas",14309,38138,0,0
"tyler","texas",21458,35847,2,9.32053313449529e-05
"upshur","texas",39995,46734,0,0
"upton","texas",3283,52455,1,0.000304599451720987
"uvalde","texas",26752,34456,1,3.73803827751196e-05
"val verde","texas",48705,38747,6,0.000123190637511549
"van zandt","texas",52427,42359,8,0.000152593129494345
"victoria","texas",89269,49676,4,4.4808388130258e-05
"walker","texas",68408,36885,7,0.00010232721319144
"waller","texas",44357,50609,1,2.25443560204703e-05
"ward","texas",10879,41939,0,0
"washington","texas",34093,45320,2,5.86630686651219e-05
"webb","texas",259172,37868,10,3.85844149831e-05
"wharton","texas",41285,43689,1,2.42218723507327e-05
"wheeler","texas",5626,48000,0,0
"wichita","texas",131559,44786,15,0.000114017285020409
"wilbarger","texas",13258,40050,3,0.000226278473374566
"willacy","texas",22058,22894,0,0
"williamson","texas",456232,71346,38,8.32909572322853e-05
"wilson","texas",44370,62689,4,9.01510029299076e-05
"winkler","texas",7330,44573,1,0.000136425648021828
"wise","texas",60432,57511,3,4.96425734710087e-05
"wood","texas",42022,41260,0,0
"yoakum","texas",8075,48173,0,0
"young","texas",18339,39898,0,0
"zapata","texas",14290,26009,0,0
"zavala","texas",11961,23952,1,8.36050497450046e-05
"beaver","utah",6501,43225,2,0.000307644977695739
"box elder","utah",50171,55588,1,1.9931833130693e-05
"cache","utah",115520,48338,1,8.65650969529086e-06
"carbon","utah",21246,43659,0,0
"daggett","utah",1090,44750,0,0
"davis","utah",315809,69147,9,2.84982378589591e-05
"duchesne","utah",19244,55790,2,0.000103928497193931
"emery","utah",10933,50800,7,0.000640263422665325
"garfield","utah",5095,46029,2,0.000392541707556428
"grand","utah",9328,42004,0,0
"iron","utah",46750,42226,4,8.55614973262032e-05
"juab","utah",10341,54000,1,9.67024465718983e-05
"kane","utah",7221,45439,1,0.00013848497438028
"millard","utah",12569,47062,1,7.95608242501392e-05
"morgan","utah",9821,76472,0,0
"piute","utah",1524,36667,0,0
"rich","utah",2267,53924,0,0
"salt lake","utah",1063842,59168,89,8.36590395942255e-05
"san juan","utah",14965,37611,2,0.000133645172068159
"sanpete","utah",27906,44799,0,0
"sevier","utah",20784,44731,1,4.81139337952271e-05
"summit","utah",38003,84752,1,2.63137120753625e-05
"tooele","utah",59870,63228,0,0
"uintah","utah",34524,62450,0,0
"utah","utah",540504,59338,28,5.18035019167296e-05
"wasatch","utah",25273,64651,0,0
"washington","utah",144809,50307,4,2.76225925184208e-05
"wayne","utah",2737,49847,0,0
"weber","utah",236640,54666,22,9.29682217714672e-05
"addison","vermont",36745,57203,2,5.4429174037284e-05
